set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
11,1,pair_100_round-left.png,round-left,KAYTUH,pseudoword,B,100,B
11,2,pair_103_sharp-left.png,sharp-left,NAHLOO,pseudoword,B,103,A
11,3,pair_82_sharp-left.png,sharp-left,MAHMOH,pseudoword,B,82,B
11,4,pair_13_sharp-left.png,sharp-left,NAHNOO,pseudoword,B,13,B
11,5,pair_46_round-left.png,round-left,PAYPUH,pseudoword,B,46,B
11,6,pair_53_sharp-left.png,sharp-left,LOOMAH,pseudoword,B,53,A
11,7,pair_28_round-left.png,round-left,NOHMAH,pseudoword,A,28,A
11,8,pair_147_round-left.png,round-left,LAHMAH,pseudoword,A,147,B
11,9,pair_42_round-left.png,round-left,NOOMOH,pseudoword,A,42,B
11,10,pair_57_sharp-left.png,sharp-left,TUHPEE,pseudoword,A,57,A
11,11,pair_84_round-left.png,round-left,MAHMOO,pseudoword,A,84,B
11,12,pair_97_round-left.png,round-left,TEEKAY,pseudoword,B,97,B
11,13,pair_32_round-left.png,round-left,NOONOH,pseudoword,A,32,A
11,14,pair_41_round-left.png,round-left,TUHKEE,pseudoword,B,41,B
11,15,pair_156_sharp-left.png,sharp-left,NOOLOO,pseudoword,B,156,B
11,16,pair_105_round-left.png,round-left,PUHTEE,pseudoword,B,105,A
11,17,pair_145_sharp-left.png,sharp-left,LAHLAH,pseudoword,B,145,B
11,18,pair_142_round-left.png,round-left,KAYPAY,pseudoword,B,142,A
11,19,pair_120_round-left.png,round-left,NAHLAH,pseudoword,A,120,B
11,20,pair_69_round-left.png,round-left,KEETUH,pseudoword,B,69,A
11,21,pair_138_sharp-left.png,sharp-left,TAYTUH,pseudoword,A,138,B
11,22,pair_162_sharp-left.png,sharp-left,KAYPUH,pseudoword,A,162,A
11,23,pair_169_round-left.png,round-left,KUHTUH,pseudoword,B,169,B
11,24,pair_115_round-left.png,round-left,TUHKUH,pseudoword,B,115,A
11,25,pair_163_sharp-left.png,sharp-left,PEEKUH,pseudoword,A,163,A
11,26,pair_112_sharp-left.png,sharp-left,LOOLOH,pseudoword,B,112,A
11,27,pair_73_sharp-left.png,sharp-left,LAHNOH,pseudoword,B,73,B
11,28,pair_151_sharp-left.png,sharp-left,MAHLAH,pseudoword,B,151,A
11,29,pair_47_round-left.png,round-left,LOHLOO,pseudoword,A,47,B
11,30,pair_127_sharp-left.png,sharp-left,MOHNOO,pseudoword,B,127,A
11,31,pair_158_sharp-left.png,sharp-left,NOHLAH,pseudoword,B,158,B
11,32,pair_34_sharp-left.png,sharp-left,TEETAY,pseudoword,A,34,A
11,33,pair_166_sharp-left.png,sharp-left,MOHLOO,pseudoword,B,166,B
11,34,pair_72_round-left.png,round-left,PAYTAY,pseudoword,B,72,A
11,35,pair_144_sharp-left.png,sharp-left,KUHTEE,pseudoword,A,144,B
11,36,pair_62_sharp-left.png,sharp-left,KEEPEE,pseudoword,A,62,A
11,37,pair_146_sharp-left.png,sharp-left,PAYTEE,pseudoword,A,146,A
11,38,pair_71_round-left.png,round-left,TAYTAY,pseudoword,B,71,A
11,39,pair_14_sharp-left.png,sharp-left,LOOMOO,pseudoword,B,14,A
11,40,pair_25_round-left.png,round-left,LOONOO,pseudoword,A,25,B
11,41,pair_123_sharp-left.png,sharp-left,MOHMOO,pseudoword,B,123,B
11,42,pair_184_round-left.png,round-left,NAHNOH,pseudoword,A,184,A
11,43,pair_161_round-left.png,round-left,PEETUH,pseudoword,B,161,B
11,44,pair_43_round-left.png,round-left,MAHNOH,pseudoword,A,43,A
11,45,pair_64_sharp-left.png,sharp-left,NOHLOO,pseudoword,B,64,B
11,46,pair_51_sharp-left.png,sharp-left,LOONAH,pseudoword,B,51,A
11,47,pair_39_round-left.png,round-left,KUHKEE,pseudoword,B,39,B
11,48,pair_99_round-left.png,round-left,LOHMAH,pseudoword,A,99,B
11,49,pair_68_round-left.png,round-left,MOOLAH,pseudoword,A,68,A
11,50,pair_183_round-left.png,round-left,MOOMOO,pseudoword,A,183,A
11,51,pair_149_round-left.png,round-left,MAHLOO,pseudoword,A,149,B
11,52,pair_45_round-left.png,round-left,PUHTUH,pseudoword,B,45,A
11,53,pair_110_round-left.png,round-left,PEETEE,pseudoword,B,110,B
11,54,pair_132_round-left.png,round-left,MAHNOO,pseudoword,A,132,A
11,55,pair_65_sharp-left.png,sharp-left,KUHTAY,pseudoword,A,65,A
11,56,pair_126_round-left.png,round-left,MOHLAH,pseudoword,A,126,B
11,57,pair_18_sharp-left.png,sharp-left,NAHLOH,pseudoword,B,18,A
11,58,pair_61_sharp-left.png,sharp-left,PUHKUH,pseudoword,A,61,B
11,59,pair_36_round-left.png,round-left,MAHNAH,pseudoword,A,36,A
11,60,pair_108_round-left.png,round-left,LOHLAH,pseudoword,A,108,B
11,61,pair_125_sharp-left.png,sharp-left,TAYPUH,pseudoword,A,125,B
11,62,pair_29_sharp-left.png,sharp-left,NAHNAH,pseudoword,B,29,A
11,63,pair_02_round-left.png,round-left,TAYKEE,pseudoword,B,2,B
11,64,pair_55_round-left.png,round-left,PAYPEE,pseudoword,B,55,B
11,65,pair_80_sharp-left.png,sharp-left,LOHMOH,pseudoword,B,80,A
11,66,pair_01_sharp-left.png,sharp-left,TAKETE,canonical,A,1,B
11,67,pair_67_sharp-left.png,sharp-left,PAYKEE,pseudoword,A,67,A
11,68,pair_121_round-left.png,round-left,PEETAY,pseudoword,B,121,B
11,69,pair_58_round-left.png,round-left,LAHNAH,pseudoword,A,58,A
11,70,pair_160_sharp-left.png,sharp-left,LOOMOH,pseudoword,B,160,B
11,71,pair_63_sharp-left.png,sharp-left,LAHMOO,pseudoword,B,63,B
11,72,pair_94_sharp-left.png,sharp-left,MOHNOH,pseudoword,B,94,B
11,73,pair_131_sharp-left.png,sharp-left,TEETEE,pseudoword,A,131,A
11,74,pair_180_round-left.png,round-left,NOHMOH,pseudoword,A,180,B
11,75,pair_66_round-left.png,round-left,LOHNAH,pseudoword,A,66,A
11,76,pair_93_sharp-left.png,sharp-left,PUHKAY,pseudoword,A,93,B
11,77,pair_139_sharp-left.png,sharp-left,MOHNAH,pseudoword,B,139,B
11,78,pair_19_sharp-left.png,sharp-left,TEEKUH,pseudoword,A,19,B
11,79,pair_165_round-left.png,round-left,KUHPEE,pseudoword,B,165,A
11,80,pair_141_round-left.png,round-left,TAYKAY,pseudoword,B,141,A
11,81,pair_31_sharp-left.png,sharp-left,PEEKAY,pseudoword,A,31,B
11,82,pair_118_round-left.png,round-left,NOOMAH,pseudoword,A,118,B
11,83,pair_86_sharp-left.png,sharp-left,LAHNOO,pseudoword,B,86,A
11,84,pair_181_sharp-left.png,sharp-left,PEEKEE,pseudoword,A,181,B
11,85,pair_98_sharp-left.png,sharp-left,TUHPAY,pseudoword,A,98,A
11,86,pair_24_round-left.png,round-left,LAHMOH,pseudoword,A,24,B
11,87,pair_150_sharp-left.png,sharp-left,TUHPUH,pseudoword,A,150,A
11,88,pair_167_sharp-left.png,sharp-left,MOOMAH,pseudoword,B,167,B
11,89,pair_50_round-left.png,round-left,NOHLOH,pseudoword,A,50,B
11,90,pair_26_sharp-left.png,sharp-left,MOONAH,pseudoword,B,26,A
11,91,pair_83_sharp-left.png,sharp-left,KAYKAY,pseudoword,A,83,B
11,92,pair_22_round-left.png,round-left,MOHMAH,pseudoword,A,22,A
11,93,pair_176_sharp-left.png,sharp-left,KEEPUH,pseudoword,A,176,B
11,94,pair_38_sharp-left.png,sharp-left,TUHTEE,pseudoword,A,38,A
11,95,pair_48_round-left.png,round-left,KAYTAY,pseudoword,B,48,B
11,96,pair_111_round-left.png,round-left,MAHLOH,pseudoword,A,111,A
11,97,pair_04_sharp-left.png,sharp-left,LAHLOH,pseudoword,B,4,B
11,98,pair_148_sharp-left.png,sharp-left,KAYPEE,pseudoword,A,148,A
11,99,pair_78_sharp-left.png,sharp-left,PUHPEE,pseudoword,A,78,B
11,100,pair_140_round-left.png,round-left,NOOLOH,pseudoword,A,140,A
11,101,pair_07_round-left.png,round-left,KIKI,canonical,B,7,B
11,102,pair_135_sharp-left.png,sharp-left,KEETAY,pseudoword,A,135,A
11,103,pair_20_sharp-left.png,sharp-left,KAYKUH,pseudoword,A,20,B
11,104,pair_54_sharp-left.png,sharp-left,NOONOO,pseudoword,B,54,B
11,105,pair_134_round-left.png,round-left,NAHMOH,pseudoword,A,134,A
11,106,pair_130_sharp-left.png,sharp-left,NOOMOO,pseudoword,B,130,B
11,107,pair_44_sharp-left.png,sharp-left,TAYPEE,pseudoword,A,44,A
11,108,pair_128_sharp-left.png,sharp-left,NOONAH,pseudoword,B,128,B
11,109,pair_56_round-left.png,round-left,PAYTUH,pseudoword,B,56,A
11,110,pair_89_round-left.png,round-left,PAYKUH,pseudoword,B,89,B
11,111,pair_59_sharp-left.png,sharp-left,PAYPAY,pseudoword,A,59,A
11,112,pair_76_round-left.png,round-left,PAYKAY,pseudoword,B,76,B
11,113,pair_179_sharp-left.png,sharp-left,NAHMAH,pseudoword,B,179,A
11,114,pair_171_sharp-left.png,sharp-left,MOONOO,pseudoword,B,171,B
11,115,pair_12_round-left.png,round-left,NOHNAH,pseudoword,A,12,A
11,116,pair_172_sharp-left.png,sharp-left,KEEPAY,pseudoword,A,172,A
11,117,pair_16_sharp-left.png,sharp-left,TEEKEE,pseudoword,A,16,B
11,118,pair_75_round-left.png,round-left,KEETEE,pseudoword,B,75,B
11,119,pair_40_round-left.png,round-left,MAHMAH,pseudoword,A,40,A
11,120,pair_60_sharp-left.png,sharp-left,NAHMOO,pseudoword,B,60,A
11,121,pair_70_sharp-left.png,sharp-left,TUHTUH,pseudoword,A,70,B
11,122,pair_164_sharp-left.png,sharp-left,MOHMOH,pseudoword,B,164,B
11,123,pair_03_round-left.png,round-left,KEEKAY,pseudoword,B,3,B
11,124,pair_15_round-left.png,round-left,PUHPUH,pseudoword,B,15,B
11,125,pair_37_round-left.png,round-left,MOOMOH,pseudoword,A,37,A
11,126,pair_177_sharp-left.png,sharp-left,TUHTAY,pseudoword,A,177,B
11,127,pair_05_round-left.png,round-left,TAYPAY,pseudoword,B,5,B
11,128,pair_185_round-left.png,round-left,PUHKEE,pseudoword,B,185,A
11,129,pair_174_sharp-left.png,sharp-left,PEEPAY,pseudoword,A,174,B
11,130,pair_175_round-left.png,round-left,KUHPAY,pseudoword,B,175,A
11,131,pair_129_round-left.png,round-left,PUHTAY,pseudoword,B,129,B
11,132,pair_182_round-left.png,round-left,TAYTEE,pseudoword,B,182,A
11,133,pair_157_round-left.png,round-left,TEEPEE,pseudoword,B,157,B
11,134,pair_77_sharp-left.png,sharp-left,NOOLAH,pseudoword,B,77,A
11,135,pair_30_round-left.png,round-left,TEETUH,pseudoword,B,30,B
11,136,pair_01_round-left.png,round-left,MALUMA,canonical,A,1,A
11,137,pair_153_round-left.png,round-left,KEEKUH,pseudoword,B,153,B
11,138,pair_85_round-left.png,round-left,NOHNOH,pseudoword,A,85,A
11,139,pair_109_round-left.png,round-left,PUHPAY,pseudoword,B,109,B
11,140,pair_133_round-left.png,round-left,KAYTEE,pseudoword,B,133,B
11,141,pair_117_round-left.png,round-left,PEEPUH,pseudoword,B,117,A
11,142,pair_95_round-left.png,round-left,MOOLOO,pseudoword,A,95,A
11,143,pair_107_round-left.png,round-left,PEEPEE,pseudoword,B,107,B
11,144,pair_152_round-left.png,round-left,TEEPUH,pseudoword,B,152,A
11,145,pair_49_round-left.png,round-left,LOHMOO,pseudoword,A,49,A
11,146,pair_10_sharp-left.png,sharp-left,KUHKAY,pseudoword,A,10,B
11,147,pair_104_round-left.png,round-left,NOHNOO,pseudoword,A,104,B
11,148,pair_122_round-left.png,round-left,NOHMOO,pseudoword,A,122,B
11,149,pair_35_round-left.png,round-left,MOOLOH,pseudoword,A,35,A
11,150,pair_101_sharp-left.png,sharp-left,LAHLOO,pseudoword,B,101,B
11,151,pair_07_sharp-left.png,sharp-left,BOUBA,canonical,B,7,A
11,152,pair_119_round-left.png,round-left,LOHLOH,pseudoword,A,119,B
11,153,pair_114_round-left.png,round-left,LOOLOO,pseudoword,A,114,A
11,154,pair_52_round-left.png,round-left,TUHKAY,pseudoword,B,52,B
11,155,pair_159_sharp-left.png,sharp-left,LOHNOH,pseudoword,B,159,A
11,156,pair_168_round-left.png,round-left,MOHLOH,pseudoword,A,168,B
11,157,pair_124_round-left.png,round-left,KUHKUH,pseudoword,B,124,A
11,158,pair_106_sharp-left.png,sharp-left,KUHPUH,pseudoword,A,106,B
11,159,pair_74_sharp-left.png,sharp-left,KAYKEE,pseudoword,A,74,A
11,160,pair_09_sharp-left.png,sharp-left,TEEPAY,pseudoword,A,9,A
11,161,pair_102_round-left.png,round-left,KEEKEE,pseudoword,B,102,B
11,162,pair_27_sharp-left.png,sharp-left,MOONOH,pseudoword,B,27,B
11,163,pair_90_round-left.png,round-left,LOHNOO,pseudoword,A,90,A
11,164,pair_87_round-left.png,round-left,LOONOH,pseudoword,A,87,B
11,165,pair_81_round-left.png,round-left,TAYKUH,pseudoword,B,81,A
11,166,pair_136_round-left.png,round-left,LOOLAH,pseudoword,A,136,B
11,167,pair_21_round-left.png,round-left,plush,adjective,A,21,A
11,168,pair_143_round-left.png,round-left,curved,adjective,A,143,B
11,169,pair_137_round-left.png,round-left,angular,adjective,B,137,B
11,170,pair_92_sharp-left.png,sharp-left,rotund,adjective,B,92,A
11,171,pair_155_round-left.png,round-left,smooth,adjective,A,155,A
11,172,pair_96_round-left.png,round-left,jagged,adjective,B,96,B
11,173,pair_79_sharp-left.png,sharp-left,soft,adjective,B,79,B
11,174,pair_154_round-left.png,round-left,rugged,adjective,B,154,A
11,175,pair_173_round-left.png,round-left,fat,adjective,A,173,A
11,176,pair_17_round-left.png,round-left,sharp,adjective,B,17,B
11,177,pair_11_round-left.png,round-left,spiky,adjective,B,11,B
11,178,pair_116_round-left.png,round-left,pointed,adjective,B,116,B
11,179,pair_08_sharp-left.png,sharp-left,edgy,adjective,A,8,A
11,180,pair_06_sharp-left.png,sharp-left,prickly,adjective,A,6,B
11,181,pair_113_sharp-left.png,sharp-left,round,adjective,B,113,B
11,182,pair_33_sharp-left.png,sharp-left,uneven,adjective,A,33,A
11,183,pair_91_round-left.png,round-left,circular,adjective,A,91,B
11,184,pair_23_round-left.png,round-left,plump,adjective,A,23,A
11,185,pair_88_round-left.png,round-left,hard,adjective,B,88,B
11,186,pair_178_round-left.png,round-left,chubby,adjective,A,178,A
