set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
21,1,pair_159_sharp-left.png,sharp-left,LOHNOO,pseudoword,B,159,A
21,2,pair_70_sharp-left.png,sharp-left,MAHLOO,pseudoword,B,70,B
21,3,pair_130_round-left.png,round-left,TEETUH,pseudoword,B,130,A
21,4,pair_98_round-left.png,round-left,NOOMOO,pseudoword,A,98,A
21,5,pair_121_round-left.png,round-left,LAHMOH,pseudoword,A,121,A
21,6,pair_129_sharp-left.png,sharp-left,NOHLOO,pseudoword,B,129,B
21,7,pair_169_sharp-left.png,sharp-left,LOHNOH,pseudoword,B,169,A
21,8,pair_34_round-left.png,round-left,TUHKUH,pseudoword,B,34,B
21,9,pair_13_round-left.png,round-left,TAYKAY,pseudoword,B,13,B
21,10,pair_40_round-left.png,round-left,LOONOO,pseudoword,A,40,A
21,11,pair_94_round-left.png,round-left,PEETEE,pseudoword,B,94,A
21,12,pair_61_round-left.png,round-left,LOHLAH,pseudoword,A,61,A
21,13,pair_151_sharp-left.png,sharp-left,MOOLAH,pseudoword,B,151,B
21,14,pair_26_round-left.png,round-left,PAYKAY,pseudoword,B,26,B
21,15,pair_101_round-left.png,round-left,MAHLAH,pseudoword,A,101,B
21,16,pair_16_round-left.png,round-left,PEETAY,pseudoword,B,16,A
21,17,pair_146_round-left.png,round-left,TAYTUH,pseudoword,B,146,B
21,18,pair_20_sharp-left.png,sharp-left,LOOMOH,pseudoword,B,20,B
21,19,pair_179_round-left.png,round-left,MOHMOO,pseudoword,A,179,A
21,20,pair_76_round-left.png,round-left,MOHLAH,pseudoword,A,76,A
21,21,pair_118_round-left.png,round-left,TEEKEE,pseudoword,B,118,B
21,22,pair_87_sharp-left.png,sharp-left,MOHLOH,pseudoword,B,87,B
21,23,pair_06_sharp-left.png,sharp-left,MOHNAH,pseudoword,B,6,B
21,24,pair_114_sharp-left.png,sharp-left,LOOLAH,pseudoword,B,114,B
21,25,pair_57_sharp-left.png,sharp-left,KUHTEE,pseudoword,A,57,B
21,26,pair_85_round-left.png,round-left,KEETAY,pseudoword,B,85,B
21,27,pair_45_round-left.png,round-left,KEEPEE,pseudoword,B,45,A
21,28,pair_113_round-left.png,round-left,PEETUH,pseudoword,B,113,A
21,29,pair_43_round-left.png,round-left,KUHPEE,pseudoword,B,43,B
21,30,pair_185_sharp-left.png,sharp-left,NOOLOO,pseudoword,B,185,B
21,31,pair_80_sharp-left.png,sharp-left,MAHNAH,pseudoword,B,80,B
21,32,pair_03_round-left.png,round-left,KEETUH,pseudoword,B,3,A
21,33,pair_142_sharp-left.png,sharp-left,KUHKEE,pseudoword,A,142,A
21,34,pair_175_sharp-left.png,sharp-left,NAHMOO,pseudoword,B,175,B
21,35,pair_103_round-left.png,round-left,TUHPUH,pseudoword,B,103,A
21,36,pair_102_sharp-left.png,sharp-left,TUHPAY,pseudoword,A,102,A
21,37,pair_133_round-left.png,round-left,MAHNOH,pseudoword,A,133,A
21,38,pair_52_round-left.png,round-left,LAHLOH,pseudoword,A,52,A
