set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
9,1,pair_144_round-left.png,round-left,LAHLOO,pseudoword,A,144,A
9,2,pair_108_sharp-left.png,sharp-left,MOHMOH,pseudoword,B,108,B
9,3,pair_57_sharp-left.png,sharp-left,NOOLOO,pseudoword,B,57,B
9,4,pair_168_round-left.png,round-left,PAYTAY,pseudoword,B,168,A
9,5,pair_44_round-left.png,round-left,PUHTUH,pseudoword,B,44,B
9,6,pair_121_sharp-left.png,sharp-left,PUHPAY,pseudoword,A,121,A
9,7,pair_106_round-left.png,round-left,NOONOO,pseudoword,A,106,B
9,8,pair_09_round-left.png,round-left,PEEPUH,pseudoword,B,9,A
9,9,pair_91_round-left.png,round-left,MOONAH,pseudoword,A,91,A
9,10,pair_96_round-left.png,round-left,LOHMAH,pseudoword,A,96,A
9,11,pair_18_round-left.png,round-left,LOHMOH,pseudoword,A,18,A
9,12,pair_08_round-left.png,round-left,PUHKUH,pseudoword,B,8,A
9,13,pair_119_round-left.png,round-left,MAHMAH,pseudoword,A,119,B
9,14,pair_102_sharp-left.png,sharp-left,TAYTAY,pseudoword,A,102,A
9,15,pair_150_sharp-left.png,sharp-left,KUHPEE,pseudoword,A,150,A
9,16,pair_169_sharp-left.png,sharp-left,KUHKEE,pseudoword,A,169,A
9,17,pair_177_round-left.png,round-left,TEETEE,pseudoword,B,177,B
9,18,pair_17_round-left.png,round-left,NOHLOH,pseudoword,A,17,A
9,19,pair_166_sharp-left.png,sharp-left,LOHNOO,pseudoword,B,166,A
9,20,pair_146_round-left.png,round-left,NOHNOO,pseudoword,A,146,A
9,21,pair_52_sharp-left.png,sharp-left,TEETUH,pseudoword,A,52,A
9,22,pair_137_round-left.png,round-left,LOONOH,pseudoword,A,137,A
9,23,pair_38_round-left.png,round-left,NOHNAH,pseudoword,A,38,A
9,24,pair_111_round-left.png,round-left,TUHKEE,pseudoword,B,111,B
9,25,pair_104_round-left.png,round-left,PAYKUH,pseudoword,B,104,B
9,26,pair_24_round-left.png,round-left,LOOMOH,pseudoword,A,24,B
9,27,pair_95_sharp-left.png,sharp-left,KEEPAY,pseudoword,A,95,A
9,28,pair_138_sharp-left.png,sharp-left,LOHNOH,pseudoword,B,138,B
9,29,pair_184_round-left.png,round-left,PAYPUH,pseudoword,B,184,B
9,30,pair_14_round-left.png,round-left,LAHMOH,pseudoword,A,14,B
9,31,pair_34_round-left.png,round-left,KEEPEE,pseudoword,B,34,A
