set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
37,1,pair_66_sharp-left.png,sharp-left,KEEKEE,pseudoword,A,66,A
37,2,pair_131_round-left.png,round-left,PUHPEE,pseudoword,B,131,A
37,3,pair_143_round-left.png,round-left,LOHLOH,pseudoword,A,143,A
37,4,pair_133_round-left.png,round-left,LAHMOO,pseudoword,A,133,A
37,5,pair_47_round-left.png,round-left,LOOLOO,pseudoword,A,47,A
37,6,pair_81_sharp-left.png,sharp-left,PEEKAY,pseudoword,A,81,B
37,7,pair_80_sharp-left.png,sharp-left,TEEKEE,pseudoword,A,80,A
37,8,pair_32_round-left.png,round-left,KUHTUH,pseudoword,B,32,A
37,9,pair_107_sharp-left.png,sharp-left,NOOMOH,pseudoword,B,107,B
37,10,pair_26_sharp-left.png,sharp-left,LOONAH,pseudoword,B,26,B
37,11,pair_96_round-left.png,round-left,KUHTAY,pseudoword,B,96,A
37,12,pair_54_round-left.png,round-left,TAYPEE,pseudoword,B,54,B
37,13,pair_42_sharp-left.png,sharp-left,MOOMAH,pseudoword,B,42,B
37,14,pair_152_sharp-left.png,sharp-left,LAHNAH,pseudoword,B,152,B
37,15,pair_20_sharp-left.png,sharp-left,PAYKAY,pseudoword,A,20,B
37,16,pair_121_round-left.png,round-left,TUHTAY,pseudoword,B,121,A
37,17,pair_39_round-left.png,round-left,KEEKAY,pseudoword,B,39,A
37,18,pair_129_round-left.png,round-left,MOONOO,pseudoword,A,129,A
37,19,pair_154_sharp-left.png,sharp-left,MOONAH,pseudoword,B,154,B
37,20,pair_28_round-left.png,round-left,MAHNOH,pseudoword,A,28,A
37,21,pair_103_sharp-left.png,sharp-left,PUHTAY,pseudoword,A,103,B
37,22,pair_06_round-left.png,round-left,TEEKUH,pseudoword,B,6,B
37,23,pair_88_sharp-left.png,sharp-left,KAYPUH,pseudoword,A,88,B
37,24,pair_136_sharp-left.png,sharp-left,KAYTEE,pseudoword,A,136,A
37,25,pair_94_round-left.png,round-left,KEEPAY,pseudoword,B,94,B
37,26,pair_108_sharp-left.png,sharp-left,MOOLOH,pseudoword,B,108,B
37,27,pair_135_sharp-left.png,sharp-left,NOOMAH,pseudoword,B,135,B
37,28,pair_118_round-left.png,round-left,NAHNOO,pseudoword,A,118,A
37,29,pair_150_sharp-left.png,sharp-left,PEEPAY,pseudoword,A,150,A
37,30,pair_156_sharp-left.png,sharp-left,KEETUH,pseudoword,A,156,B
37,31,pair_91_sharp-left.png,sharp-left,LOHNOO,pseudoword,B,91,B
37,32,pair_07_round-left.png,round-left,KIKI,canonical,B,7,B
37,33,pair_138_round-left.png,round-left,MAHNAH,pseudoword,A,138,A
37,34,pair_97_round-left.png,round-left,TEETEE,pseudoword,B,97,B
37,35,pair_40_sharp-left.png,sharp-left,PEETUH,pseudoword,A,40,A
37,36,pair_137_round-left.png,round-left,LOOLOH,pseudoword,A,137,A
37,37,pair_140_round-left.png,round-left,PEETEE,pseudoword,B,140,B
37,38,pair_45_sharp-left.png,sharp-left,NAHMOO,pseudoword,B,45,B
37,39,pair_29_sharp-left.png,sharp-left,TUHPEE,pseudoword,A,29,A
37,40,pair_67_sharp-left.png,sharp-left,KUHPEE,pseudoword,A,67,B
37,41,pair_182_round-left.png,round-left,TAYTUH,pseudoword,B,182,A
37,42,pair_141_round-left.png,round-left,NOOLAH,pseudoword,A,141,A
37,43,pair_70_sharp-left.png,sharp-left,NOOLOO,pseudoword,B,70,B
37,44,pair_35_round-left.png,round-left,MOOLAH,pseudoword,A,35,A
37,45,pair_44_sharp-left.png,sharp-left,LAHNOO,pseudoword,B,44,B
37,46,pair_125_sharp-left.png,sharp-left,LOHNAH,pseudoword,B,125,B
37,47,pair_14_round-left.png,round-left,TEEPUH,pseudoword,B,14,B
37,48,pair_18_sharp-left.png,sharp-left,LAHNOH,pseudoword,B,18,B
37,49,pair_146_round-left.png,round-left,MAHLOH,pseudoword,A,146,A
37,50,pair_77_round-left.png,round-left,LAHLAH,pseudoword,A,77,A
37,51,pair_148_sharp-left.png,sharp-left,LOHLOO,pseudoword,B,148,B
37,52,pair_17_round-left.png,round-left,PUHTEE,pseudoword,B,17,B
37,53,pair_34_round-left.png,round-left,LOHLAH,pseudoword,A,34,A
37,54,pair_161_sharp-left.png,sharp-left,KUHTEE,pseudoword,A,161,A
37,55,pair_10_sharp-left.png,sharp-left,LOOMAH,pseudoword,B,10,B
37,56,pair_60_sharp-left.png,sharp-left,NOHMAH,pseudoword,B,60,B
37,57,pair_68_sharp-left.png,sharp-left,TAYKUH,pseudoword,A,68,A
37,58,pair_179_sharp-left.png,sharp-left,NAHMOH,pseudoword,B,179,B
37,59,pair_04_round-left.png,round-left,LOONOH,pseudoword,A,4,A
37,60,pair_50_sharp-left.png,sharp-left,MOHNOO,pseudoword,B,50,B
37,61,pair_87_round-left.png,round-left,LOHMOO,pseudoword,A,87,A
37,62,pair_52_round-left.png,round-left,PUHPUH,pseudoword,B,52,A
37,63,pair_41_round-left.png,round-left,NOHMOH,pseudoword,A,41,A
37,64,pair_99_sharp-left.png,sharp-left,NOHNOH,pseudoword,B,99,B
37,65,pair_37_round-left.png,round-left,PAYTUH,pseudoword,B,37,B
37,66,pair_61_sharp-left.png,sharp-left,PUHTUH,pseudoword,A,61,B
37,67,pair_185_round-left.png,round-left,NOONOO,pseudoword,A,185,A
37,68,pair_84_sharp-left.png,sharp-left,KUHKUH,pseudoword,A,84,B
37,69,pair_105_sharp-left.png,sharp-left,TEETUH,pseudoword,A,105,A
37,70,pair_31_sharp-left.png,sharp-left,PAYTAY,pseudoword,A,31,A
37,71,pair_120_round-left.png,round-left,PEEPUH,pseudoword,B,120,B
37,72,pair_174_sharp-left.png,sharp-left,MOHNAH,pseudoword,B,174,B
37,73,pair_106_sharp-left.png,sharp-left,TUHPAY,pseudoword,A,106,A
37,74,pair_57_round-left.png,round-left,MOONOH,pseudoword,A,57,A
37,75,pair_65_round-left.png,round-left,KAYTUH,pseudoword,B,65,B
37,76,pair_48_sharp-left.png,sharp-left,PAYPUH,pseudoword,A,48,A
37,77,pair_139_sharp-left.png,sharp-left,MAHMOH,pseudoword,B,139,B
37,78,pair_63_round-left.png,round-left,LOOMOH,pseudoword,A,63,A
37,79,pair_09_sharp-left.png,sharp-left,KAYPEE,pseudoword,A,9,B
37,80,pair_30_sharp-left.png,sharp-left,LOHMOH,pseudoword,B,30,B
37,81,pair_102_round-left.png,round-left,NOHNAH,pseudoword,A,102,A
37,82,pair_122_round-left.png,round-left,TUHPUH,pseudoword,B,122,A
37,83,pair_49_round-left.png,round-left,KEETAY,pseudoword,B,49,B
37,84,pair_11_round-left.png,round-left,LOOLAH,pseudoword,A,11,A
37,85,pair_07_round-left.png,round-left,BOUBA,canonical,A,7,A
37,86,pair_24_round-left.png,round-left,LAHMAH,pseudoword,A,24,A
37,87,pair_124_round-left.png,round-left,KAYTAY,pseudoword,B,124,B
37,88,pair_176_round-left.png,round-left,TEETAY,pseudoword,B,176,B
37,89,pair_158_sharp-left.png,sharp-left,TUHKUH,pseudoword,A,158,A
37,90,pair_72_sharp-left.png,sharp-left,PAYKEE,pseudoword,A,72,A
