set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
55,1,pair_31_sharp-left.png,sharp-left,TUHKEE,pseudoword,A,31,B
55,2,pair_03_round-left.png,round-left,NOONAH,pseudoword,A,3,A
55,3,pair_74_sharp-left.png,sharp-left,LAHLOO,pseudoword,B,74,B
55,4,pair_05_sharp-left.png,sharp-left,LAHMAH,pseudoword,B,5,B
55,5,pair_76_round-left.png,round-left,MOHNOO,pseudoword,A,76,A
55,6,pair_58_sharp-left.png,sharp-left,NAHNOO,pseudoword,B,58,B
55,7,pair_136_round-left.png,round-left,TUHTEE,pseudoword,B,136,B
55,8,pair_149_round-left.png,round-left,TUHPAY,pseudoword,B,149,B
55,9,pair_185_round-left.png,round-left,KAYTUH,pseudoword,B,185,B
55,10,pair_77_sharp-left.png,sharp-left,NOOMOH,pseudoword,B,77,B
55,11,pair_46_sharp-left.png,sharp-left,NOHLOH,pseudoword,B,46,B
55,12,pair_44_sharp-left.png,sharp-left,MOOMOH,pseudoword,B,44,B
55,13,pair_159_sharp-left.png,sharp-left,NOHMAH,pseudoword,B,159,B
55,14,pair_139_round-left.png,round-left,LAHLOH,pseudoword,A,139,A
55,15,pair_80_round-left.png,round-left,MOHNOH,pseudoword,A,80,A
55,16,pair_51_round-left.png,round-left,MAHMOH,pseudoword,A,51,A
55,17,pair_176_sharp-left.png,sharp-left,KAYKEE,pseudoword,A,176,A
55,18,pair_56_sharp-left.png,sharp-left,KEEPEE,pseudoword,A,56,A
55,19,pair_167_sharp-left.png,sharp-left,NOOLOH,pseudoword,B,167,B
55,20,pair_23_round-left.png,round-left,MOHLOO,pseudoword,A,23,A
55,21,pair_157_sharp-left.png,sharp-left,PUHTUH,pseudoword,A,157,A
55,22,pair_01_sharp-left.png,sharp-left,TAKETE,canonical,A,1,A
55,23,pair_10_round-left.png,round-left,PUHKAY,pseudoword,B,10,B
55,24,pair_161_sharp-left.png,sharp-left,NOHLAH,pseudoword,B,161,B
55,25,pair_147_sharp-left.png,sharp-left,TUHKAY,pseudoword,A,147,A
55,26,pair_99_sharp-left.png,sharp-left,TUHPUH,pseudoword,A,99,A
55,27,pair_123_sharp-left.png,sharp-left,LOOLOH,pseudoword,B,123,B
55,28,pair_75_sharp-left.png,sharp-left,KEEPUH,pseudoword,A,75,A
55,29,pair_39_sharp-left.png,sharp-left,TAYPUH,pseudoword,A,39,A
55,30,pair_142_round-left.png,round-left,KEEKAY,pseudoword,B,142,B
55,31,pair_68_round-left.png,round-left,NOHMOH,pseudoword,A,68,B
55,32,pair_171_round-left.png,round-left,TAYKEE,pseudoword,B,171,B
55,33,pair_21_round-left.png,round-left,LOONOO,pseudoword,A,21,A
55,34,pair_90_sharp-left.png,sharp-left,LAHNOH,pseudoword,B,90,B
55,35,pair_116_sharp-left.png,sharp-left,TUHKUH,pseudoword,A,116,A
55,36,pair_120_round-left.png,round-left,NOHNAH,pseudoword,A,120,A
55,37,pair_32_sharp-left.png,sharp-left,PEETAY,pseudoword,A,32,A
55,38,pair_131_round-left.png,round-left,TAYKAY,pseudoword,B,131,B
55,39,pair_137_sharp-left.png,sharp-left,TUHTUH,pseudoword,A,137,A
55,40,pair_102_sharp-left.png,sharp-left,TEEKAY,pseudoword,A,102,A
55,41,pair_101_sharp-left.png,sharp-left,NOONOO,pseudoword,B,101,B
55,42,pair_151_round-left.png,round-left,TUHPEE,pseudoword,B,151,B
55,43,pair_111_round-left.png,round-left,TAYTUH,pseudoword,B,111,B
55,44,pair_59_sharp-left.png,sharp-left,MOOLOO,pseudoword,B,59,B
55,45,pair_67_sharp-left.png,sharp-left,KAYPEE,pseudoword,A,67,A
55,46,pair_29_sharp-left.png,sharp-left,MOHLOH,pseudoword,B,29,B
55,47,pair_141_sharp-left.png,sharp-left,MAHMAH,pseudoword,B,141,B
55,48,pair_126_round-left.png,round-left,PEETUH,pseudoword,B,126,B
55,49,pair_28_round-left.png,round-left,TEEKEE,pseudoword,B,28,B
55,50,pair_129_sharp-left.png,sharp-left,PAYTAY,pseudoword,A,129,A
55,51,pair_132_round-left.png,round-left,LOOMOH,pseudoword,A,132,A
55,52,pair_145_round-left.png,round-left,MOOMAH,pseudoword,A,145,A
55,53,pair_13_round-left.png,round-left,KAYPAY,pseudoword,B,13,B
