set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
39,1,pair_26_sharp-left.png,sharp-left,NOHMOO,pseudoword,B,26,B
39,2,pair_113_round-left.png,round-left,PEETAY,pseudoword,B,113,A
39,3,pair_39_sharp-left.png,sharp-left,TAYPEE,pseudoword,A,39,B
39,4,pair_12_sharp-left.png,sharp-left,NOONOH,pseudoword,B,12,B
39,5,pair_99_round-left.png,round-left,MOHLOH,pseudoword,A,99,A
39,6,pair_183_round-left.png,round-left,PEETEE,pseudoword,B,183,A
39,7,pair_171_round-left.png,round-left,NOOMAH,pseudoword,A,171,A
39,8,pair_29_round-left.png,round-left,KUHTEE,pseudoword,B,29,A
39,9,pair_07_round-left.png,round-left,KIKI,canonical,B,7,A
39,10,pair_76_sharp-left.png,sharp-left,PEETUH,pseudoword,A,76,B
39,11,pair_162_sharp-left.png,sharp-left,LOHNOO,pseudoword,B,162,B
39,12,pair_49_round-left.png,round-left,KUHKAY,pseudoword,B,49,A
39,13,pair_27_sharp-left.png,sharp-left,KAYTUH,pseudoword,A,27,A
39,14,pair_153_sharp-left.png,sharp-left,MAHLOH,pseudoword,B,153,B
39,15,pair_168_round-left.png,round-left,TUHKEE,pseudoword,B,168,A
39,16,pair_144_round-left.png,round-left,NOOLAH,pseudoword,A,144,A
39,17,pair_110_round-left.png,round-left,KEEPAY,pseudoword,B,110,B
39,18,pair_09_sharp-left.png,sharp-left,MOONAH,pseudoword,B,9,B
39,19,pair_103_sharp-left.png,sharp-left,MAHLOO,pseudoword,B,103,B
39,20,pair_81_round-left.png,round-left,KUHPAY,pseudoword,B,81,B
39,21,pair_64_round-left.png,round-left,TEEKUH,pseudoword,B,64,B
39,22,pair_131_sharp-left.png,sharp-left,PEEPAY,pseudoword,A,131,B
39,23,pair_91_sharp-left.png,sharp-left,PAYPAY,pseudoword,A,91,B
39,24,pair_69_sharp-left.png,sharp-left,PAYKUH,pseudoword,A,69,A
39,25,pair_45_round-left.png,round-left,LAHLAH,pseudoword,A,45,A
39,26,pair_150_round-left.png,round-left,NAHLAH,pseudoword,A,150,A
39,27,pair_31_round-left.png,round-left,LOONOH,pseudoword,A,31,A
39,28,pair_50_round-left.png,round-left,NOHLOO,pseudoword,A,50,B
39,29,pair_15_sharp-left.png,sharp-left,LOOMOH,pseudoword,B,15,B
39,30,pair_43_round-left.png,round-left,PUHKUH,pseudoword,B,43,B
39,31,pair_132_round-left.png,round-left,MOOLOH,pseudoword,A,132,B
39,32,pair_10_round-left.png,round-left,PEEPUH,pseudoword,B,10,A
39,33,pair_142_sharp-left.png,sharp-left,PUHKAY,pseudoword,A,142,A
39,34,pair_146_round-left.png,round-left,LOOMAH,pseudoword,A,146,A
39,35,pair_78_sharp-left.png,sharp-left,KAYKEE,pseudoword,A,78,A
39,36,pair_140_sharp-left.png,sharp-left,MAHNOO,pseudoword,B,140,A
39,37,pair_129_round-left.png,round-left,LOHMOO,pseudoword,A,129,A
39,38,pair_32_round-left.png,round-left,KEETAY,pseudoword,B,32,B
39,39,pair_116_sharp-left.png,sharp-left,MAHMOO,pseudoword,B,116,B
39,40,pair_125_round-left.png,round-left,PUHPAY,pseudoword,B,125,A
39,41,pair_92_sharp-left.png,sharp-left,TAYKAY,pseudoword,A,92,B
39,42,pair_66_round-left.png,round-left,LAHLOO,pseudoword,A,66,A
39,43,pair_133_sharp-left.png,sharp-left,NAHNAH,pseudoword,B,133,B
39,44,pair_165_sharp-left.png,sharp-left,LOOMOO,pseudoword,B,165,B
39,45,pair_72_round-left.png,round-left,MOHNAH,pseudoword,A,72,A
39,46,pair_181_sharp-left.png,sharp-left,KAYPAY,pseudoword,A,181,A
39,47,pair_19_round-left.png,round-left,NAHNOO,pseudoword,A,19,A
39,48,pair_65_round-left.png,round-left,NOOLOH,pseudoword,A,65,A
39,49,pair_07_sharp-left.png,sharp-left,BOUBA,canonical,B,7,B
39,50,pair_08_sharp-left.png,sharp-left,MOONOH,pseudoword,B,8,A
39,51,pair_93_round-left.png,round-left,MOONOO,pseudoword,A,93,A
39,52,pair_156_sharp-left.png,sharp-left,KEEKAY,pseudoword,A,156,B
39,53,pair_83_round-left.png,round-left,TAYPAY,pseudoword,B,83,B
39,54,pair_41_round-left.png,round-left,NAHMOH,pseudoword,A,41,A
39,55,pair_160_sharp-left.png,sharp-left,TUHTAY,pseudoword,A,160,A
39,56,pair_94_sharp-left.png,sharp-left,LAHNOO,pseudoword,B,94,A
39,57,pair_48_round-left.png,round-left,MOOMAH,pseudoword,A,48,B
39,58,pair_04_sharp-left.png,sharp-left,KUHPEE,pseudoword,A,4,B
39,59,pair_16_round-left.png,round-left,TUHPUH,pseudoword,B,16,A
39,60,pair_79_round-left.png,round-left,LOHLAH,pseudoword,A,79,A
39,61,pair_137_sharp-left.png,sharp-left,NOOMOH,pseudoword,B,137,B
39,62,pair_124_round-left.png,round-left,NOHNAH,pseudoword,A,124,A
39,63,pair_177_sharp-left.png,sharp-left,KUHTUH,pseudoword,A,177,A
39,64,pair_35_sharp-left.png,sharp-left,TEETAY,pseudoword,A,35,B
39,65,pair_11_sharp-left.png,sharp-left,TAYTEE,pseudoword,A,11,A
39,66,pair_84_round-left.png,round-left,TUHTUH,pseudoword,B,84,A
39,67,pair_13_sharp-left.png,sharp-left,KAYPEE,pseudoword,A,13,A
39,68,pair_126_round-left.png,round-left,PAYKEE,pseudoword,B,126,B
39,69,pair_90_round-left.png,round-left,KEEKEE,pseudoword,B,90,B
39,70,pair_60_round-left.png,round-left,TUHKUH,pseudoword,B,60,A
39,71,pair_102_sharp-left.png,sharp-left,MOHNOO,pseudoword,B,102,A
39,72,pair_155_round-left.png,round-left,MAHNAH,pseudoword,A,155,A
39,73,pair_25_round-left.png,round-left,LOOLOH,pseudoword,A,25,A
39,74,pair_180_round-left.png,round-left,MOOLOO,pseudoword,A,180,A
39,75,pair_63_sharp-left.png,sharp-left,KAYKAY,pseudoword,A,63,A
39,76,pair_30_round-left.png,round-left,PUHKEE,pseudoword,B,30,B
