set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
47,1,pair_77_sharp-left.png,sharp-left,NAHNOO,pseudoword,B,77,A
47,2,pair_49_sharp-left.png,sharp-left,PAYPUH,pseudoword,A,49,B
47,3,pair_01_round-left.png,round-left,TAKETE,canonical,B,1,B
47,4,pair_103_round-left.png,round-left,MOHNOH,pseudoword,A,103,A
47,5,pair_118_round-left.png,round-left,MAHLOH,pseudoword,A,118,A
47,6,pair_22_sharp-left.png,sharp-left,NOOLOO,pseudoword,B,22,A
47,7,pair_68_sharp-left.png,sharp-left,MOOLAH,pseudoword,B,68,B
47,8,pair_52_round-left.png,round-left,TEETAY,pseudoword,B,52,A
47,9,pair_143_sharp-left.png,sharp-left,LAHNOH,pseudoword,B,143,B
47,10,pair_175_round-left.png,round-left,KEEKAY,pseudoword,B,175,B
47,11,pair_165_sharp-left.png,sharp-left,LOHMOH,pseudoword,B,165,B
47,12,pair_152_sharp-left.png,sharp-left,MOHNOO,pseudoword,B,152,B
47,13,pair_18_sharp-left.png,sharp-left,LAHNOO,pseudoword,B,18,B
47,14,pair_140_sharp-left.png,sharp-left,KAYPUH,pseudoword,A,140,A
47,15,pair_28_round-left.png,round-left,KEETUH,pseudoword,B,28,B
47,16,pair_34_round-left.png,round-left,KUHTAY,pseudoword,B,34,B
47,17,pair_30_round-left.png,round-left,PEEPUH,pseudoword,B,30,A
47,18,pair_70_round-left.png,round-left,TEEKEE,pseudoword,B,70,B
47,19,pair_08_round-left.png,round-left,TUHKAY,pseudoword,B,8,A
47,20,pair_105_sharp-left.png,sharp-left,NAHMAH,pseudoword,B,105,A
47,21,pair_133_sharp-left.png,sharp-left,MOOMOO,pseudoword,B,133,B
47,22,pair_24_sharp-left.png,sharp-left,KEEPAY,pseudoword,A,24,A
47,23,pair_54_sharp-left.png,sharp-left,PUHKAY,pseudoword,A,54,B
47,24,pair_15_sharp-left.png,sharp-left,NOOMOO,pseudoword,B,15,A
47,25,pair_61_round-left.png,round-left,MAHNOO,pseudoword,A,61,A
47,26,pair_65_round-left.png,round-left,KAYKUH,pseudoword,B,65,B
47,27,pair_115_round-left.png,round-left,MOONOO,pseudoword,A,115,A
47,28,pair_43_sharp-left.png,sharp-left,LOOMOO,pseudoword,B,43,B
47,29,pair_87_sharp-left.png,sharp-left,PAYKEE,pseudoword,A,87,A
47,30,pair_123_round-left.png,round-left,LOONOO,pseudoword,A,123,A
47,31,pair_16_sharp-left.png,sharp-left,MAHMOH,pseudoword,B,16,B
47,32,pair_100_round-left.png,round-left,NOHMOO,pseudoword,A,100,B
47,33,pair_135_round-left.png,round-left,NAHLOO,pseudoword,A,135,B
47,34,pair_155_sharp-left.png,sharp-left,NOONOO,pseudoword,B,155,A
47,35,pair_150_sharp-left.png,sharp-left,LOOLAH,pseudoword,B,150,B
47,36,pair_169_sharp-left.png,sharp-left,TAYTUH,pseudoword,A,169,A
47,37,pair_48_round-left.png,round-left,KUHKUH,pseudoword,B,48,B
47,38,pair_131_round-left.png,round-left,NOHLOO,pseudoword,A,131,B
47,39,pair_121_sharp-left.png,sharp-left,TUHTUH,pseudoword,A,121,B
47,40,pair_56_round-left.png,round-left,LOONAH,pseudoword,A,56,A
47,41,pair_06_round-left.png,round-left,PEETAY,pseudoword,B,6,A
47,42,pair_157_sharp-left.png,sharp-left,KUHTUH,pseudoword,A,157,A
47,43,pair_171_sharp-left.png,sharp-left,TAYPAY,pseudoword,A,171,B
47,44,pair_127_round-left.png,round-left,PAYKAY,pseudoword,B,127,A
47,45,pair_183_round-left.png,round-left,NOHMOH,pseudoword,A,183,B
47,46,pair_59_sharp-left.png,sharp-left,PUHTUH,pseudoword,A,59,B
47,47,pair_92_sharp-left.png,sharp-left,MOONOH,pseudoword,B,92,A
47,48,pair_176_sharp-left.png,sharp-left,LOHNAH,pseudoword,B,176,B
47,49,pair_40_sharp-left.png,sharp-left,NOHLAH,pseudoword,B,40,A
47,50,pair_58_round-left.png,round-left,NOHNAH,pseudoword,A,58,B
47,51,pair_104_round-left.png,round-left,MAHMAH,pseudoword,A,104,A
47,52,pair_80_round-left.png,round-left,NOONOH,pseudoword,A,80,B
47,53,pair_90_sharp-left.png,sharp-left,LOHLAH,pseudoword,B,90,B
47,54,pair_129_round-left.png,round-left,TUHPAY,pseudoword,B,129,A
47,55,pair_154_round-left.png,round-left,LAHLOH,pseudoword,A,154,A
47,56,pair_66_sharp-left.png,sharp-left,TUHKUH,pseudoword,A,66,A
47,57,pair_29_sharp-left.png,sharp-left,NAHMOO,pseudoword,B,29,A
47,58,pair_03_round-left.png,round-left,TUHTEE,pseudoword,B,3,A
47,59,pair_27_round-left.png,round-left,NAHNAH,pseudoword,A,27,B
47,60,pair_134_round-left.png,round-left,MAHNOH,pseudoword,A,134,A
47,61,pair_21_round-left.png,round-left,KAYPAY,pseudoword,B,21,B
47,62,pair_79_sharp-left.png,sharp-left,MOOMAH,pseudoword,B,79,B
47,63,pair_108_round-left.png,round-left,TAYKAY,pseudoword,B,108,B
47,64,pair_161_round-left.png,round-left,PUHPAY,pseudoword,B,161,A
47,65,pair_139_round-left.png,round-left,PEEPEE,pseudoword,B,139,A
47,66,pair_153_sharp-left.png,sharp-left,NOOLAH,pseudoword,B,153,A
47,67,pair_07_round-left.png,round-left,KIKI,canonical,B,7,B
47,68,pair_78_round-left.png,round-left,KEEPEE,pseudoword,B,78,B
47,69,pair_106_sharp-left.png,sharp-left,TEEPUH,pseudoword,A,106,A
47,70,pair_02_sharp-left.png,sharp-left,PEEKUH,pseudoword,A,2,A
47,71,pair_64_round-left.png,round-left,LOHLOH,pseudoword,A,64,A
47,72,pair_177_sharp-left.png,sharp-left,NOHLOH,pseudoword,B,177,A
47,73,pair_101_sharp-left.png,sharp-left,MOHLOH,pseudoword,B,101,B
47,74,pair_168_round-left.png,round-left,MOOLOH,pseudoword,A,168,A
47,75,pair_17_sharp-left.png,sharp-left,TEETUH,pseudoword,A,17,B
47,76,pair_91_round-left.png,round-left,TEEKUH,pseudoword,B,91,B
47,77,pair_164_round-left.png,round-left,KEETAY,pseudoword,B,164,B
47,78,pair_94_round-left.png,round-left,MAHLOO,pseudoword,A,94,A
47,79,pair_180_round-left.png,round-left,LOOMAH,pseudoword,A,180,A
47,80,pair_23_sharp-left.png,sharp-left,PUHPUH,pseudoword,A,23,B
47,81,pair_93_round-left.png,round-left,TEEPEE,pseudoword,B,93,B
47,82,pair_07_round-left.png,round-left,BOUBA,canonical,A,7,A
47,83,pair_99_round-left.png,round-left,MOHMOH,pseudoword,A,99,A
47,84,pair_96_round-left.png,round-left,LOONOH,pseudoword,A,96,B
47,85,pair_47_sharp-left.png,sharp-left,NOHNOH,pseudoword,B,47,A
47,86,pair_178_sharp-left.png,sharp-left,KUHPUH,pseudoword,A,178,B
47,87,pair_141_round-left.png,round-left,TAYTEE,pseudoword,B,141,B
47,88,pair_142_sharp-left.png,sharp-left,KAYTEE,pseudoword,A,142,B
47,89,pair_09_round-left.png,round-left,KEEKEE,pseudoword,B,9,B
47,90,pair_67_sharp-left.png,sharp-left,LAHMAH,pseudoword,B,67,B
47,91,pair_182_sharp-left.png,sharp-left,NOOLOH,pseudoword,B,182,A
47,92,pair_36_round-left.png,round-left,KEEKUH,pseudoword,B,36,B
47,93,pair_12_sharp-left.png,sharp-left,TEETEE,pseudoword,A,12,B
47,94,pair_05_sharp-left.png,sharp-left,PEEKAY,pseudoword,A,5,A
47,95,pair_122_round-left.png,round-left,MOHLAH,pseudoword,A,122,A
47,96,pair_39_round-left.png,round-left,LAHLAH,pseudoword,A,39,A
47,97,pair_60_round-left.png,round-left,TUHTAY,pseudoword,B,60,B
47,98,pair_119_round-left.png,round-left,KAYTAY,pseudoword,B,119,B
47,99,pair_57_round-left.png,round-left,KUHKAY,pseudoword,B,57,B
47,100,pair_160_sharp-left.png,sharp-left,MOHMOO,pseudoword,B,160,B
47,101,pair_138_round-left.png,round-left,TUHPEE,pseudoword,B,138,B
47,102,pair_97_sharp-left.png,sharp-left,MOONAH,pseudoword,B,97,B
47,103,pair_01_round-left.png,round-left,MALUMA,canonical,A,1,A
47,104,pair_163_round-left.png,round-left,LAHLOO,pseudoword,A,163,B
47,105,pair_81_round-left.png,round-left,LOOLOO,pseudoword,A,81,A
47,106,pair_151_sharp-left.png,sharp-left,PAYTAY,pseudoword,A,151,B
47,107,pair_38_sharp-left.png,sharp-left,KAYTUH,pseudoword,A,38,B
47,108,pair_35_round-left.png,round-left,KAYPEE,pseudoword,B,35,A
47,109,pair_179_round-left.png,round-left,KEEPUH,pseudoword,B,179,B
47,110,pair_167_sharp-left.png,sharp-left,LOHMOO,pseudoword,B,167,B
47,111,pair_71_sharp-left.png,sharp-left,MOHNAH,pseudoword,B,71,B
47,112,pair_76_sharp-left.png,sharp-left,LOHLOO,pseudoword,B,76,B
47,113,pair_41_sharp-left.png,sharp-left,PEEKEE,pseudoword,A,41,A
47,114,pair_166_round-left.png,round-left,NAHMOH,pseudoword,A,166,B
47,115,pair_74_round-left.png,round-left,PUHKEE,pseudoword,B,74,B
47,116,pair_37_round-left.png,round-left,PAYKUH,pseudoword,B,37,B
47,117,pair_126_sharp-left.png,sharp-left,PAYPEE,pseudoword,A,126,B
47,118,pair_149_sharp-left.png,sharp-left,KUHKEE,pseudoword,A,149,B
47,119,pair_156_round-left.png,round-left,KEETEE,pseudoword,B,156,B
47,120,pair_72_sharp-left.png,sharp-left,PAYTEE,pseudoword,A,72,B
47,121,pair_107_sharp-left.png,sharp-left,PUHTEE,pseudoword,A,107,B
47,122,pair_33_sharp-left.png,sharp-left,MOHMAH,pseudoword,B,33,B
47,123,pair_117_round-left.png,round-left,PEETEE,pseudoword,B,117,B
47,124,pair_53_sharp-left.png,sharp-left,NOHNOO,pseudoword,B,53,A
47,125,pair_98_sharp-left.png,sharp-left,TUHKEE,pseudoword,A,98,A
47,126,pair_45_sharp-left.png,sharp-left,PAYTUH,pseudoword,A,45,B
47,127,pair_173_round-left.png,round-left,NOOMAH,pseudoword,A,173,B
47,128,pair_14_round-left.png,round-left,TEEPAY,pseudoword,B,14,A
47,129,pair_116_round-left.png,round-left,LAHMOO,pseudoword,A,116,A
47,130,pair_25_sharp-left.png,sharp-left,TAYKEE,pseudoword,A,25,A
47,131,pair_159_round-left.png,round-left,KUHPEE,pseudoword,B,159,A
47,132,pair_136_sharp-left.png,sharp-left,LAHNAH,pseudoword,B,136,B
47,133,pair_89_sharp-left.png,sharp-left,PAYPAY,pseudoword,A,89,B
47,134,pair_62_round-left.png,round-left,KUHTEE,pseudoword,B,62,B
47,135,pair_88_round-left.png,round-left,TAYKUH,pseudoword,B,88,B
47,136,pair_26_sharp-left.png,sharp-left,PEEPAY,pseudoword,A,26,B
47,137,pair_125_round-left.png,round-left,LAHMOH,pseudoword,A,125,A
47,138,pair_69_round-left.png,round-left,TUHPUH,pseudoword,B,69,A
47,139,pair_75_sharp-left.png,sharp-left,PUHKUH,pseudoword,A,75,A
47,140,pair_31_sharp-left.png,sharp-left,LOOMOH,pseudoword,B,31,B
47,141,pair_42_sharp-left.png,sharp-left,NOHMAH,pseudoword,B,42,A
47,142,pair_102_round-left.png,round-left,LOHNOH,pseudoword,A,102,B
47,143,pair_63_sharp-left.png,sharp-left,MOOLOO,pseudoword,B,63,B
47,144,pair_113_sharp-left.png,sharp-left,TEEKAY,pseudoword,A,113,A
47,145,pair_158_round-left.png,round-left,NOONAH,pseudoword,A,158,B
47,146,pair_82_sharp-left.png,sharp-left,MAHNAH,pseudoword,B,82,B
47,147,pair_51_round-left.png,round-left,MOHLOO,pseudoword,A,51,A
47,148,pair_46_round-left.png,round-left,TAYTAY,pseudoword,B,46,B
47,149,pair_174_round-left.png,round-left,TAYPUH,pseudoword,B,174,A
47,150,pair_83_round-left.png,round-left,MOOMOH,pseudoword,A,83,A
47,151,pair_73_round-left.png,round-left,NAHNOH,pseudoword,A,73,B
47,152,pair_84_round-left.png,round-left,KAYKEE,pseudoword,B,84,B
47,153,pair_147_round-left.png,round-left,PUHPEE,pseudoword,B,147,A
47,154,pair_10_sharp-left.png,sharp-left,TAYPEE,pseudoword,A,10,B
