set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
15,1,pair_05_sharp-left.png,sharp-left,TEEKUH,pseudoword,A,5,A
15,2,pair_15_sharp-left.png,sharp-left,KUHPAY,pseudoword,A,15,B
15,3,pair_52_sharp-left.png,sharp-left,LAHNOO,pseudoword,B,52,A
15,4,pair_42_round-left.png,round-left,PUHKEE,pseudoword,B,42,A
15,5,pair_98_sharp-left.png,sharp-left,KAYPUH,pseudoword,A,98,A
15,6,pair_106_round-left.png,round-left,TUHTEE,pseudoword,B,106,B
15,7,pair_62_round-left.png,round-left,PAYPUH,pseudoword,B,62,A
15,8,pair_138_round-left.png,round-left,MOHLAH,pseudoword,A,138,A
15,9,pair_10_sharp-left.png,sharp-left,TEEPEE,pseudoword,A,10,A
15,10,pair_133_round-left.png,round-left,PEEKEE,pseudoword,B,133,B
15,11,pair_152_round-left.png,round-left,TAYPAY,pseudoword,B,152,A
15,12,pair_19_round-left.png,round-left,NOHNAH,pseudoword,A,19,B
15,13,pair_45_round-left.png,round-left,NOOLOO,pseudoword,A,45,A
15,14,pair_95_round-left.png,round-left,KEEPAY,pseudoword,B,95,B
15,15,pair_20_sharp-left.png,sharp-left,PEEPEE,pseudoword,A,20,B
15,16,pair_60_sharp-left.png,sharp-left,KAYKAY,pseudoword,A,60,B
15,17,pair_161_sharp-left.png,sharp-left,TEEKEE,pseudoword,A,161,A
15,18,pair_35_round-left.png,round-left,NOHMOH,pseudoword,A,35,B
15,19,pair_03_round-left.png,round-left,PAYTAY,pseudoword,B,3,A
15,20,pair_114_sharp-left.png,sharp-left,LAHNAH,pseudoword,B,114,A
15,21,pair_78_round-left.png,round-left,NOOMOO,pseudoword,A,78,B
15,22,pair_174_sharp-left.png,sharp-left,PUHPEE,pseudoword,A,174,A
15,23,pair_11_round-left.png,round-left,KEEPEE,pseudoword,B,11,A
15,24,pair_12_round-left.png,round-left,MAHNOO,pseudoword,A,12,B
15,25,pair_63_sharp-left.png,sharp-left,LAHLOH,pseudoword,B,63,B
15,26,pair_104_sharp-left.png,sharp-left,TUHTUH,pseudoword,A,104,B
15,27,pair_57_sharp-left.png,sharp-left,KAYTUH,pseudoword,A,57,B
15,28,pair_115_round-left.png,round-left,MAHNAH,pseudoword,A,115,A
15,29,pair_14_sharp-left.png,sharp-left,TEEPAY,pseudoword,A,14,A
15,30,pair_67_sharp-left.png,sharp-left,KEEKUH,pseudoword,A,67,A
15,31,pair_142_round-left.png,round-left,NOOLAH,pseudoword,A,142,A
15,32,pair_143_sharp-left.png,sharp-left,LAHLAH,pseudoword,B,143,B
15,33,pair_132_round-left.png,round-left,LAHMAH,pseudoword,A,132,A
15,34,pair_85_sharp-left.png,sharp-left,LOOMAH,pseudoword,B,85,B
15,35,pair_04_round-left.png,round-left,MOHNAH,pseudoword,A,4,A
15,36,pair_01_round-left.png,round-left,TAKETE,canonical,B,1,A
15,37,pair_55_round-left.png,round-left,PAYKAY,pseudoword,B,55,A
15,38,pair_96_sharp-left.png,sharp-left,PEEKAY,pseudoword,A,96,B
15,39,pair_165_round-left.png,round-left,MAHMAH,pseudoword,A,165,A
15,40,pair_168_sharp-left.png,sharp-left,TEETAY,pseudoword,A,168,B
15,41,pair_102_sharp-left.png,sharp-left,PAYPAY,pseudoword,A,102,A
15,42,pair_110_sharp-left.png,sharp-left,KUHKAY,pseudoword,A,110,A
15,43,pair_27_sharp-left.png,sharp-left,LOHMOH,pseudoword,B,27,B
15,44,pair_108_round-left.png,round-left,TUHPEE,pseudoword,B,108,A
15,45,pair_71_round-left.png,round-left,KEEKEE,pseudoword,B,71,A
15,46,pair_134_round-left.png,round-left,LOOLAH,pseudoword,A,134,B
15,47,pair_36_round-left.png,round-left,LOOLOH,pseudoword,A,36,A
15,48,pair_06_sharp-left.png,sharp-left,MOONOH,pseudoword,B,6,A
15,49,pair_139_sharp-left.png,sharp-left,NOOMOH,pseudoword,B,139,A
15,50,pair_144_round-left.png,round-left,LOHLOH,pseudoword,A,144,A
15,51,pair_48_round-left.png,round-left,PEETEE,pseudoword,B,48,B
15,52,pair_53_round-left.png,round-left,NOHMOO,pseudoword,A,53,B
15,53,pair_150_sharp-left.png,sharp-left,MOOMOO,pseudoword,B,150,B
15,54,pair_111_sharp-left.png,sharp-left,KAYKUH,pseudoword,A,111,A
15,55,pair_26_sharp-left.png,sharp-left,NOHLAH,pseudoword,B,26,A
15,56,pair_72_sharp-left.png,sharp-left,LOHLOO,pseudoword,B,72,A
15,57,pair_25_round-left.png,round-left,PAYPEE,pseudoword,B,25,A
15,58,pair_81_sharp-left.png,sharp-left,MOHMOO,pseudoword,B,81,A
15,59,pair_179_round-left.png,round-left,LAHMOO,pseudoword,A,179,A
15,60,pair_153_round-left.png,round-left,PEEPUH,pseudoword,B,153,A
15,61,pair_87_round-left.png,round-left,MOOLOH,pseudoword,A,87,A
15,62,pair_38_round-left.png,round-left,LOOMOO,pseudoword,A,38,A
15,63,pair_175_round-left.png,round-left,TUHTAY,pseudoword,B,175,B
15,64,pair_105_sharp-left.png,sharp-left,TAYPUH,pseudoword,A,105,A
15,65,pair_140_round-left.png,round-left,KUHTEE,pseudoword,B,140,A
15,66,pair_159_round-left.png,round-left,NOOMAH,pseudoword,A,159,A
15,67,pair_09_sharp-left.png,sharp-left,KAYTEE,pseudoword,A,9,B
15,68,pair_31_sharp-left.png,sharp-left,LOHMOO,pseudoword,B,31,A
15,69,pair_163_round-left.png,round-left,TUHPUH,pseudoword,B,163,A
15,70,pair_184_round-left.png,round-left,LAHMOH,pseudoword,A,184,A
15,71,pair_109_sharp-left.png,sharp-left,KEETAY,pseudoword,A,109,A
15,72,pair_99_sharp-left.png,sharp-left,MAHLOH,pseudoword,B,99,B
15,73,pair_146_sharp-left.png,sharp-left,PUHTUH,pseudoword,A,146,A
15,74,pair_51_sharp-left.png,sharp-left,TUHKUH,pseudoword,A,51,A
15,75,pair_155_sharp-left.png,sharp-left,KUHTUH,pseudoword,A,155,A
15,76,pair_94_sharp-left.png,sharp-left,MAHMOH,pseudoword,B,94,A
15,77,pair_117_round-left.png,round-left,LOHNOH,pseudoword,A,117,A
15,78,pair_68_sharp-left.png,sharp-left,TAYTEE,pseudoword,A,68,B
15,79,pair_113_round-left.png,round-left,PAYKUH,pseudoword,B,113,B
15,80,pair_100_round-left.png,round-left,LOONOO,pseudoword,A,100,A
15,81,pair_119_round-left.png,round-left,KUHTAY,pseudoword,B,119,A
15,82,pair_34_round-left.png,round-left,LOONOH,pseudoword,A,34,A
15,83,pair_122_round-left.png,round-left,MOHNOH,pseudoword,A,122,B
15,84,pair_08_sharp-left.png,sharp-left,MAHMOO,pseudoword,B,8,B
15,85,pair_169_round-left.png,round-left,KUHKUH,pseudoword,B,169,A
15,86,pair_90_round-left.png,round-left,NAHLAH,pseudoword,A,90,A
15,87,pair_157_round-left.png,round-left,MOHNOO,pseudoword,A,157,A
15,88,pair_29_sharp-left.png,sharp-left,LAHLOO,pseudoword,B,29,A
15,89,pair_41_round-left.png,round-left,MAHNOH,pseudoword,A,41,A
15,90,pair_82_sharp-left.png,sharp-left,TAYKUH,pseudoword,A,82,A
15,91,pair_92_sharp-left.png,sharp-left,LOHLAH,pseudoword,B,92,A
15,92,pair_22_round-left.png,round-left,MOOLAH,pseudoword,A,22,A
15,93,pair_137_round-left.png,round-left,PEEPAY,pseudoword,B,137,A
15,94,pair_65_round-left.png,round-left,NOONOO,pseudoword,A,65,B
15,95,pair_16_sharp-left.png,sharp-left,LOHMAH,pseudoword,B,16,A
15,96,pair_131_sharp-left.png,sharp-left,TUHPAY,pseudoword,A,131,A
15,97,pair_177_round-left.png,round-left,NAHMOH,pseudoword,A,177,A
15,98,pair_172_sharp-left.png,sharp-left,TEEKAY,pseudoword,A,172,A
15,99,pair_18_round-left.png,round-left,PAYTUH,pseudoword,B,18,B
15,100,pair_59_round-left.png,round-left,NAHNOO,pseudoword,A,59,A
15,101,pair_44_round-left.png,round-left,LOOMOH,pseudoword,A,44,B
15,102,pair_75_round-left.png,round-left,PEETAY,pseudoword,B,75,A
15,103,pair_149_sharp-left.png,sharp-left,NAHMAH,pseudoword,B,149,A
15,104,pair_148_sharp-left.png,sharp-left,MOHLOO,pseudoword,B,148,A
15,105,pair_130_round-left.png,round-left,KEEKAY,pseudoword,B,130,B
15,106,pair_66_round-left.png,round-left,NOHNOO,pseudoword,A,66,B
15,107,pair_01_round-left.png,round-left,MALUMA,canonical,A,1,A
15,108,pair_145_sharp-left.png,sharp-left,NAHLOH,pseudoword,B,145,B
15,109,pair_80_sharp-left.png,sharp-left,PUHKUH,pseudoword,A,80,B
15,110,pair_176_round-left.png,round-left,TAYTUH,pseudoword,B,176,B
15,111,pair_120_round-left.png,round-left,NOONAH,pseudoword,A,120,B
15,112,pair_160_sharp-left.png,sharp-left,MAHLOO,pseudoword,B,160,B
15,113,pair_69_round-left.png,round-left,MOOLOO,pseudoword,A,69,A
15,114,pair_74_round-left.png,round-left,PAYKEE,pseudoword,B,74,A
15,115,pair_07_sharp-left.png,sharp-left,BOUBA,canonical,B,7,B
15,116,pair_49_sharp-left.png,sharp-left,TAYKAY,pseudoword,A,49,B
15,117,pair_46_round-left.png,round-left,LOHNOO,pseudoword,A,46,A
15,118,pair_43_sharp-left.png,sharp-left,NOHMAH,pseudoword,B,43,A
15,119,pair_70_sharp-left.png,sharp-left,KAYTAY,pseudoword,A,70,B
15,120,pair_23_round-left.png,round-left,LOONAH,pseudoword,A,23,A
15,121,pair_125_round-left.png,round-left,MOHMOH,pseudoword,A,125,A
15,122,pair_118_round-left.png,round-left,NOHLOH,pseudoword,A,118,B
15,123,pair_127_round-left.png,round-left,NOHNOH,pseudoword,A,127,A
15,124,pair_171_sharp-left.png,sharp-left,KEEPUH,pseudoword,A,171,B
15,125,pair_33_sharp-left.png,sharp-left,PUHTEE,pseudoword,A,33,A
15,126,pair_79_round-left.png,round-left,KAYKEE,pseudoword,B,79,A
15,127,pair_101_sharp-left.png,sharp-left,NOOLOH,pseudoword,B,101,A
15,128,pair_158_round-left.png,round-left,NAHLOO,pseudoword,A,158,A
15,129,pair_141_sharp-left.png,sharp-left,TEEPUH,pseudoword,A,141,A
15,130,pair_07_sharp-left.png,sharp-left,KIKI,canonical,A,7,B
15,131,pair_116_round-left.png,round-left,TAYKEE,pseudoword,B,116,A
15,132,pair_162_round-left.png,round-left,MOOMAH,pseudoword,A,162,B
15,133,pair_178_round-left.png,round-left,TEETUH,pseudoword,B,178,A
15,134,pair_97_sharp-left.png,sharp-left,KUHPEE,pseudoword,A,97,A
15,135,pair_61_round-left.png,round-left,KEETEE,pseudoword,B,61,B
15,136,pair_21_sharp-left.png,sharp-left,KUHPUH,pseudoword,A,21,A
15,137,pair_124_round-left.png,round-left,PUHPAY,pseudoword,B,124,A
15,138,pair_112_sharp-left.png,sharp-left,MOONAH,pseudoword,B,112,A
15,139,pair_123_round-left.png,round-left,KAYPAY,pseudoword,B,123,B
15,140,pair_73_round-left.png,round-left,NAHNOH,pseudoword,A,73,B
15,141,pair_37_sharp-left.png,sharp-left,MOHLOH,pseudoword,B,37,A
