original_pair,set_number,trial_index,master_image_file,layout,word,word_type,correct_side,user_choice
148,14,108,pair_148_sharp-left.png,sharp-left,NAHLOO,pseudoword,B,B
38,14,109,pair_38_sharp-left.png,sharp-left,MAHNOO,pseudoword,B,B
124,14,110,pair_124_sharp-left.png,sharp-left,LOOMAH,pseudoword,B,B
87,14,111,pair_87_round-left.png,round-left,TAYPUH,pseudoword,B,B
64,14,112,pair_64_sharp-left.png,sharp-left,NOHNOH,pseudoword,B,B
135,14,113,pair_135_sharp-left.png,sharp-left,NOHNOO,pseudoword,B,B
15,14,114,pair_15_round-left.png,round-left,NOHMAH,pseudoword,A,A
34,14,115,pair_34_sharp-left.png,sharp-left,NOHMOH,pseudoword,B,B
114,14,116,pair_114_sharp-left.png,sharp-left,MAHMAH,pseudoword,B,B
73,14,117,pair_73_round-left.png,round-left,TAYPEE,pseudoword,B,B
19,14,118,pair_19_sharp-left.png,sharp-left,KAYPEE,pseudoword,A,A
90,14,119,pair_90_sharp-left.png,sharp-left,LAHLOH,pseudoword,B,A
174,14,120,pair_174_round-left.png,round-left,KAYKUH,pseudoword,B,B
37,14,121,pair_37_round-left.png,round-left,NOHNAH,pseudoword,A,A
92,14,122,pair_92_sharp-left.png,sharp-left,TEEKUH,pseudoword,A,A
178,14,123,pair_178_sharp-left.png,sharp-left,MAHMOH,pseudoword,B,B
107,14,124,pair_107_sharp-left.png,sharp-left,TAYKUH,pseudoword,A,A
161,14,125,pair_161_sharp-left.png,sharp-left,KEETUH,pseudoword,A,A
146,14,126,pair_146_sharp-left.png,sharp-left,PEEKAY,pseudoword,A,A
86,14,127,pair_86_sharp-left.png,sharp-left,LAHNAH,pseudoword,B,B
11,14,128,pair_11_round-left.png,round-left,PUHKAY,pseudoword,B,A
56,14,129,pair_56_sharp-left.png,sharp-left,PAYPAY,pseudoword,A,A
24,14,130,pair_24_round-left.png,round-left,TEEKEE,pseudoword,B,B
33,14,131,pair_33_sharp-left.png,sharp-left,TUHPUH,pseudoword,A,B
41,14,132,pair_41_sharp-left.png,sharp-left,NOONOH,pseudoword,B,B
50,14,133,pair_50_round-left.png,round-left,NOONAH,pseudoword,A,A
166,14,134,pair_166_sharp-left.png,sharp-left,PUHPAY,pseudoword,A,B
169,14,135,pair_169_sharp-left.png,sharp-left,TUHTEE,pseudoword,A,A
20,14,136,pair_20_sharp-left.png,sharp-left,MOHMOO,pseudoword,B,B
127,14,137,pair_127_sharp-left.png,sharp-left,NAHLOH,pseudoword,B,B
131,14,138,pair_131_round-left.png,round-left,KEEKUH,pseudoword,B,B
1,14,139,pair_01_round-left.png,round-left,TAKETE,canonical,B,B
62,14,140,pair_62_sharp-left.png,sharp-left,TAYPAY,pseudoword,A,A
35,14,141,pair_35_sharp-left.png,sharp-left,LOOMOO,pseudoword,B,B
78,14,142,pair_78_round-left.png,round-left,KAYPAY,pseudoword,B,B
160,14,143,pair_160_round-left.png,round-left,MAHMOO,pseudoword,A,A
17,14,144,pair_17_sharp-left.png,sharp-left,NOHMOO,pseudoword,B,B
82,14,145,pair_82_round-left.png,round-left,NOOMOO,pseudoword,A,A
171,14,146,pair_171_sharp-left.png,sharp-left,NOOLOO,pseudoword,B,A
181,14,147,pair_181_sharp-left.png,sharp-left,TAYTUH,pseudoword,A,A
76,14,148,pair_76_round-left.png,round-left,NAHMOO,pseudoword,A,A
125,14,149,pair_125_round-left.png,round-left,PUHTUH,pseudoword,B,B
108,14,150,pair_108_sharp-left.png,sharp-left,MOHMOH,pseudoword,B,B
84,14,151,pair_84_sharp-left.png,sharp-left,TEETUH,pseudoword,A,A
155,14,152,pair_155_round-left.png,round-left,KAYKEE,pseudoword,B,B
63,14,153,pair_63_round-left.png,round-left,NOOLOH,pseudoword,A,A
116,14,154,pair_116_sharp-left.png,sharp-left,PEEPAY,pseudoword,A,B
98,14,155,pair_98_sharp-left.png,sharp-left,PEEKUH,pseudoword,A,A
8,14,156,pair_08_sharp-left.png,sharp-left,PAYTAY,pseudoword,A,A
83,14,157,pair_83_sharp-left.png,sharp-left,KAYTAY,pseudoword,A,A
28,14,158,pair_28_sharp-left.png,sharp-left,LOOLAH,pseudoword,B,B
93,14,159,pair_93_sharp-left.png,sharp-left,MOOMOO,pseudoword,B,B
30,14,160,pair_30_round-left.png,round-left,MOHNOH,pseudoword,A,A
68,14,161,pair_68_round-left.png,round-left,MOHLOO,pseudoword,A,A
143,14,162,pair_143_sharp-left.png,sharp-left,MAHLAH,pseudoword,B,B
29,14,163,pair_29_round-left.png,round-left,LOHLOH,pseudoword,A,B
72,14,164,pair_72_round-left.png,round-left,PAYPEE,pseudoword,B,B
147,14,165,pair_147_round-left.png,round-left,TUHKAY,pseudoword,B,B
128,14,166,pair_128_sharp-left.png,sharp-left,NAHNOH,pseudoword,B,B
121,14,167,pair_121_sharp-left.png,sharp-left,spiky,adjective,A,A
26,14,168,pair_26_sharp-left.png,sharp-left,circular,adjective,B,B
158,14,169,pair_158_round-left.png,round-left,plump,adjective,A,A
130,14,170,pair_130_round-left.png,round-left,jagged,adjective,B,B
110,14,171,pair_110_sharp-left.png,sharp-left,chubby,adjective,B,B
176,14,172,pair_176_round-left.png,round-left,edgy,adjective,B,B
150,14,173,pair_150_sharp-left.png,sharp-left,rotund,adjective,B,B
163,14,174,pair_163_round-left.png,round-left,round,adjective,A,A
79,14,175,pair_79_round-left.png,round-left,smooth,adjective,A,A
36,14,176,pair_36_sharp-left.png,sharp-left,soft,adjective,B,B
61,14,177,pair_61_round-left.png,round-left,prickly,adjective,B,B
48,14,178,pair_48_round-left.png,round-left,uneven,adjective,B,B
21,14,179,pair_21_round-left.png,round-left,curved,adjective,A,A
39,14,180,pair_39_round-left.png,round-left,rugged,adjective,B,B
119,14,181,pair_119_sharp-left.png,sharp-left,sharp,adjective,A,A
77,14,182,pair_77_round-left.png,round-left,pointed,adjective,B,B
115,14,183,pair_115_round-left.png,round-left,hard,adjective,B,B
97,14,184,pair_97_round-left.png,round-left,plush,adjective,A,A
159,14,185,pair_159_sharp-left.png,sharp-left,angular,adjective,A,A
139,14,186,pair_139_sharp-left.png,sharp-left,fat,adjective,B,B
