set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
51,1,pair_93_sharp-left.png,sharp-left,TUHPAY,pseudoword,A,93,A
51,2,pair_29_round-left.png,round-left,NOOLAH,pseudoword,A,29,A
51,3,pair_13_round-left.png,round-left,MOHMOH,pseudoword,A,13,A
51,4,pair_65_sharp-left.png,sharp-left,TUHPUH,pseudoword,A,65,B
51,5,pair_22_sharp-left.png,sharp-left,KAYKEE,pseudoword,A,22,A
51,6,pair_180_sharp-left.png,sharp-left,PEEKAY,pseudoword,A,180,A
51,7,pair_20_sharp-left.png,sharp-left,NOONOH,pseudoword,B,20,A
51,8,pair_58_sharp-left.png,sharp-left,KAYPUH,pseudoword,A,58,A
51,9,pair_33_sharp-left.png,sharp-left,TAYKEE,pseudoword,A,33,A
51,10,pair_61_sharp-left.png,sharp-left,NOHMOO,pseudoword,B,61,A
51,11,pair_146_sharp-left.png,sharp-left,TAYKAY,pseudoword,A,146,A
51,12,pair_100_round-left.png,round-left,NOHNOO,pseudoword,A,100,A
51,13,pair_142_round-left.png,round-left,MAHLOO,pseudoword,A,142,A
51,14,pair_128_round-left.png,round-left,LOONAH,pseudoword,A,128,A
51,15,pair_66_sharp-left.png,sharp-left,LOOLAH,pseudoword,B,66,B
51,16,pair_104_sharp-left.png,sharp-left,MOHLOH,pseudoword,B,104,B
51,17,pair_122_sharp-left.png,sharp-left,PUHKUH,pseudoword,A,122,A
51,18,pair_85_round-left.png,round-left,KEEKAY,pseudoword,B,85,A
51,19,pair_42_round-left.png,round-left,KUHPAY,pseudoword,B,42,B 
51,20,pair_81_sharp-left.png,sharp-left,TUHTAY,pseudoword,A,81,A
51,21,pair_113_sharp-left.png,sharp-left,MOHNAH,pseudoword,B,113,B
51,22,pair_49_sharp-left.png,sharp-left,LOOMOO,pseudoword,B,49,B
51,23,pair_03_round-left.png,round-left,PEEKUH,pseudoword,B,3,A
51,24,pair_76_round-left.png,round-left,TEETAY,pseudoword,B,76,A
51,25,pair_51_sharp-left.png,sharp-left,TAYTAY,pseudoword,A,51,B
51,26,pair_26_sharp-left.png,sharp-left,NOOMOO,pseudoword,B,26,B
