set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
7,1,pair_96_sharp-left.png,sharp-left,LOOLAH,pseudoword,B,96,A
7,2,pair_75_sharp-left.png,sharp-left,KUHTUH,pseudoword,A,75,A
7,3,pair_04_sharp-left.png,sharp-left,LOOMOH,pseudoword,B,4,B
7,4,pair_99_round-left.png,round-left,NOOMOH,pseudoword,A,99,B
7,5,pair_26_round-left.png,round-left,MOHMAH,pseudoword,A,26,A
7,6,pair_56_sharp-left.png,sharp-left,NAHNOO,pseudoword,B,56,B
7,7,pair_78_sharp-left.png,sharp-left,TEEKEE,pseudoword,A,78,A
7,8,pair_72_round-left.png,round-left,PUHKEE,pseudoword,B,72,A
7,9,pair_104_sharp-left.png,sharp-left,NOHMAH,pseudoword,B,104,B
7,10,pair_153_sharp-left.png,sharp-left,KUHTAY,pseudoword,A,153,A
7,11,pair_184_round-left.png,round-left,KUHKUH,pseudoword,B,184,B
7,12,pair_41_round-left.png,round-left,TAYPEE,pseudoword,B,41,A
7,13,pair_86_round-left.png,round-left,TAYTAY,pseudoword,B,86,A
7,14,pair_151_sharp-left.png,sharp-left,TAYKUH,pseudoword,A,151,A
7,15,pair_157_sharp-left.png,sharp-left,KEEKAY,pseudoword,A,157,B
7,16,pair_149_round-left.png,round-left,TEETEE,pseudoword,B,149,B
7,17,pair_13_round-left.png,round-left,NOHLOH,pseudoword,A,13,A
7,18,pair_61_round-left.png,round-left,PUHTUH,pseudoword,B,61,A
7,19,pair_77_round-left.png,round-left,LAHLAH,pseudoword,A,77,A
7,20,pair_185_sharp-left.png,sharp-left,TEETUH,pseudoword,A,185,B
7,21,pair_21_round-left.png,round-left,MOHMOO,pseudoword,A,21,B
7,22,pair_60_round-left.png,round-left,LOOMOO,pseudoword,A,60,A
7,23,pair_06_sharp-left.png,sharp-left,TUHTEE,pseudoword,A,6,B
7,24,pair_48_sharp-left.png,sharp-left,TUHKAY,pseudoword,A,48,B
7,25,pair_176_round-left.png,round-left,KAYTUH,pseudoword,B,176,B
7,26,pair_79_round-left.png,round-left,MOONOO,pseudoword,A,79,A
7,27,pair_69_round-left.png,round-left,NOHMOO,pseudoword,A,69,B
7,28,pair_47_sharp-left.png,sharp-left,LOOLOO,pseudoword,B,47,B
7,29,pair_94_sharp-left.png,sharp-left,NAHLAH,pseudoword,B,94,B
7,30,pair_38_round-left.png,round-left,PUHPEE,pseudoword,B,38,A
7,31,pair_162_sharp-left.png,sharp-left,NOOLOO,pseudoword,B,162,B
7,32,pair_121_sharp-left.png,sharp-left,MOHNOO,pseudoword,B,121,A
7,33,pair_44_sharp-left.png,sharp-left,MOOMAH,pseudoword,B,44,B
7,34,pair_165_sharp-left.png,sharp-left,NOONOH,pseudoword,B,165,B
7,35,pair_169_sharp-left.png,sharp-left,KAYPAY,pseudoword,A,169,A
7,36,pair_91_round-left.png,round-left,TEEPAY,pseudoword,B,91,B
7,37,pair_112_sharp-left.png,sharp-left,MAHNOO,pseudoword,B,112,B
7,38,pair_85_sharp-left.png,sharp-left,PAYPAY,pseudoword,A,85,A
7,39,pair_177_round-left.png,round-left,NOHNOO,pseudoword,A,177,A
7,40,pair_46_round-left.png,round-left,TUHPEE,pseudoword,B,46,B
7,41,pair_17_round-left.png,round-left,MAHNOH,pseudoword,A,17,A
7,42,pair_122_round-left.png,round-left,PEEPEE,pseudoword,B,122,A
7,43,pair_25_sharp-left.png,sharp-left,LOOLOH,pseudoword,B,25,B
7,44,pair_54_round-left.png,round-left,MOOLAH,pseudoword,A,54,B
7,45,pair_52_round-left.png,round-left,TUHTAY,pseudoword,B,52,A
7,46,pair_109_round-left.png,round-left,MOHNOH,pseudoword,A,109,A
7,47,pair_62_sharp-left.png,sharp-left,MAHLAH,pseudoword,B,62,B
7,48,pair_124_round-left.png,round-left,KUHKAY,pseudoword,B,124,B
7,49,pair_111_round-left.png,round-left,TEETAY,pseudoword,B,111,A
7,50,pair_180_round-left.png,round-left,PEETAY,pseudoword,B,180,B
7,51,pair_154_sharp-left.png,sharp-left,KEEPUH,pseudoword,A,154,B
7,52,pair_182_sharp-left.png,sharp-left,NAHMAH,pseudoword,B,182,B
7,53,pair_102_sharp-left.png,sharp-left,LOHNOH,pseudoword,B,102,A
7,54,pair_03_sharp-left.png,sharp-left,PUHTEE,pseudoword,A,3,B
7,55,pair_29_round-left.png,round-left,LOHMAH,pseudoword,A,29,A
7,56,pair_101_round-left.png,round-left,NOHLAH,pseudoword,A,101,A
7,57,pair_01_round-left.png,round-left,MALUMA,canonical,A,1,B
7,58,pair_158_sharp-left.png,sharp-left,TUHTUH,pseudoword,A,158,A
7,59,pair_57_sharp-left.png,sharp-left,MOHNAH,pseudoword,B,57,B
7,60,pair_83_sharp-left.png,sharp-left,PEETUH,pseudoword,A,83,B
7,61,pair_28_round-left.png,round-left,KAYKUH,pseudoword,B,28,A
7,62,pair_138_round-left.png,round-left,LAHLOO,pseudoword,A,138,A
7,63,pair_01_sharp-left.png,sharp-left,TAKETE,canonical,A,1,A
7,64,pair_16_round-left.png,round-left,KEETEE,pseudoword,B,16,B
7,65,pair_71_round-left.png,round-left,KUHKEE,pseudoword,B,71,B
7,66,pair_116_sharp-left.png,sharp-left,NAHLOO,pseudoword,B,116,A
7,67,pair_45_sharp-left.png,sharp-left,NAHNOH,pseudoword,B,45,B
7,68,pair_19_round-left.png,round-left,PAYKEE,pseudoword,B,19,A
7,69,pair_152_round-left.png,round-left,PEEKEE,pseudoword,B,152,B
7,70,pair_59_sharp-left.png,sharp-left,KEEPEE,pseudoword,A,59,A
7,71,pair_43_sharp-left.png,sharp-left,KUHPAY,pseudoword,A,43,B
7,72,pair_143_sharp-left.png,sharp-left,PAYTUH,pseudoword,A,143,A
7,73,pair_58_round-left.png,round-left,MOOMOH,pseudoword,A,58,A
7,74,pair_95_round-left.png,round-left,LAHNOH,pseudoword,A,95,B
7,75,pair_174_sharp-left.png,sharp-left,PEEPUH,pseudoword,A,174,B
7,76,pair_100_round-left.png,round-left,KAYTEE,pseudoword,B,100,A
7,77,pair_118_sharp-left.png,sharp-left,LOOMAH,pseudoword,B,118,B
7,78,pair_144_sharp-left.png,sharp-left,LOHNAH,pseudoword,B,144,B
7,79,pair_33_sharp-left.png,sharp-left,KEEKEE,pseudoword,A,33,B
7,80,pair_171_round-left.png,round-left,PAYTAY,pseudoword,B,171,A
7,81,pair_63_round-left.png,round-left,NAHMOO,pseudoword,A,63,B
7,82,pair_87_sharp-left.png,sharp-left,MAHNAH,pseudoword,B,87,B
7,83,pair_67_round-left.png,round-left,MOOMOO,pseudoword,A,67,A
7,84,pair_137_round-left.png,round-left,LAHLOH,pseudoword,A,137,A
7,85,pair_64_sharp-left.png,sharp-left,NOHNOH,pseudoword,B,64,A
7,86,pair_167_round-left.png,round-left,MAHMOO,pseudoword,A,167,A
7,87,pair_93_round-left.png,round-left,NOOMOO,pseudoword,A,93,A
7,88,pair_117_sharp-left.png,sharp-left,TAYPUH,pseudoword,A,117,A
7,89,pair_31_sharp-left.png,sharp-left,PAYKAY,pseudoword,A,31,B
7,90,pair_14_round-left.png,round-left,KUHTEE,pseudoword,B,14,A
7,91,pair_53_round-left.png,round-left,PEEKUH,pseudoword,B,53,B
7,92,pair_05_round-left.png,round-left,TAYPAY,pseudoword,B,5,A
7,93,pair_74_round-left.png,round-left,KEEKUH,pseudoword,B,74,B
7,94,pair_09_round-left.png,round-left,NOONAH,pseudoword,A,9,A
7,95,pair_129_sharp-left.png,sharp-left,KEETAY,pseudoword,A,129,B
7,96,pair_07_sharp-left.png,sharp-left,BOUBA,canonical,B,7,B
7,97,pair_114_sharp-left.png,sharp-left,TEEPUH,pseudoword,A,114,A
7,98,pair_166_round-left.png,round-left,NAHNAH,pseudoword,A,166,A
7,99,pair_139_sharp-left.png,sharp-left,NOONOO,pseudoword,B,139,B
7,100,pair_141_sharp-left.png,sharp-left,PUHTAY,pseudoword,A,141,A
7,101,pair_135_round-left.png,round-left,MOONAH,pseudoword,A,135,B
7,102,pair_89_sharp-left.png,sharp-left,KEETUH,pseudoword,A,89,A
7,103,pair_127_round-left.png,round-left,PAYPUH,pseudoword,B,127,B
7,104,pair_40_sharp-left.png,sharp-left,PUHKUH,pseudoword,A,40,B
7,105,pair_36_sharp-left.png,sharp-left,LOHMOH,pseudoword,B,36,B
7,106,pair_15_sharp-left.png,sharp-left,MOOLOO,pseudoword,B,15,B
7,107,pair_23_round-left.png,round-left,LOHMOO,pseudoword,A,23,A
7,108,pair_70_sharp-left.png,sharp-left,KAYKEE,pseudoword,A,70,A
7,109,pair_125_sharp-left.png,sharp-left,MOHLAH,pseudoword,B,125,A
7,110,pair_155_round-left.png,round-left,KAYTAY,pseudoword,B,155,B
7,111,pair_88_round-left.png,round-left,TEEPEE,pseudoword,B,88,B
7,112,pair_02_sharp-left.png,sharp-left,TAYKAY,pseudoword,A,2,A
7,113,pair_148_sharp-left.png,sharp-left,MOHLOH,pseudoword,B,148,B
7,114,pair_128_sharp-left.png,sharp-left,PUHPUH,pseudoword,A,128,B
7,115,pair_65_sharp-left.png,sharp-left,PUHKAY,pseudoword,A,65,A
7,116,pair_123_round-left.png,round-left,PEETEE,pseudoword,B,123,A
7,117,pair_134_round-left.png,round-left,MAHMAH,pseudoword,A,134,A
7,118,pair_76_sharp-left.png,sharp-left,LOONOH,pseudoword,B,76,B
7,119,pair_18_sharp-left.png,sharp-left,LAHNOO,pseudoword,B,18,B
