set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
36,1,pair_144_sharp-left.png,sharp-left,MOOMOO,pseudoword,B,144,B
36,2,pair_67_sharp-left.png,sharp-left,MAHNOH,pseudoword,B,67,B
36,3,pair_126_round-left.png,round-left,PEEKUH,pseudoword,B,126,B
36,4,pair_167_sharp-left.png,sharp-left,TEEPAY,pseudoword,A,167,A
36,5,pair_84_sharp-left.png,sharp-left,LOHNOH,pseudoword,B,84,A
36,6,pair_01_sharp-left.png,sharp-left,MALUMA,canonical,B,1,A
36,7,pair_91_sharp-left.png,sharp-left,NOHNAH,pseudoword,B,91,B
36,8,pair_111_sharp-left.png,sharp-left,KUHKAY,pseudoword,A,111,A
36,9,pair_77_round-left.png,round-left,NOOMOO,pseudoword,A,77,A
36,10,pair_185_sharp-left.png,sharp-left,KUHTUH,pseudoword,A,185,A
36,11,pair_35_round-left.png,round-left,NOOMOH,pseudoword,A,35,B
36,12,pair_13_sharp-left.png,sharp-left,LAHNOH,pseudoword,B,13,B
36,13,pair_136_round-left.png,round-left,MAHMOO,pseudoword,A,136,A
36,14,pair_95_round-left.png,round-left,KAYTUH,pseudoword,B,95,B
36,15,pair_54_sharp-left.png,sharp-left,MAHLOO,pseudoword,B,54,B
36,16,pair_175_round-left.png,round-left,PEETUH,pseudoword,B,175,B
36,17,pair_122_round-left.png,round-left,MOHNAH,pseudoword,A,122,B
36,18,pair_147_round-left.png,round-left,LOHMAH,pseudoword,A,147,A
36,19,pair_71_sharp-left.png,sharp-left,MOHLAH,pseudoword,B,71,B
36,20,pair_172_round-left.png,round-left,PAYPEE,pseudoword,B,172,A
36,21,pair_73_sharp-left.png,sharp-left,KUHPEE,pseudoword,A,73,A
36,22,pair_100_round-left.png,round-left,PUHTEE,pseudoword,B,100,B
36,23,pair_26_round-left.png,round-left,PEETEE,pseudoword,B,26,B
36,24,pair_131_round-left.png,round-left,MAHNOO,pseudoword,A,131,A
36,25,pair_123_sharp-left.png,sharp-left,NOHNOH,pseudoword,B,123,B
36,26,pair_97_round-left.png,round-left,TAYKUH,pseudoword,B,97,B
36,27,pair_171_round-left.png,round-left,MOHLOH,pseudoword,A,171,A
36,28,pair_88_round-left.png,round-left,TAYTEE,pseudoword,B,88,B
36,29,pair_102_round-left.png,round-left,PEETAY,pseudoword,B,102,B
36,30,pair_15_round-left.png,round-left,NOHLOH,pseudoword,A,15,B
