set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
26,1,pair_44_sharp-left.png,sharp-left,LAHMAH,pseudoword,B,44,A
26,2,pair_137_round-left.png,round-left,NAHLOH,pseudoword,A,137,A
26,3,pair_52_sharp-left.png,sharp-left,LOONAH,pseudoword,B,52,B
26,4,pair_07_sharp-left.png,sharp-left,KIKI,canonical,A,7,A
26,5,pair_116_round-left.png,round-left,NOHNOO,pseudoword,A,116,A
26,6,pair_151_round-left.png,round-left,MOHNAH,pseudoword,A,151,A
26,7,pair_72_sharp-left.png,sharp-left,MOHNOO,pseudoword,B,72,B
26,8,pair_21_round-left.png,round-left,NOHMOH,pseudoword,A,21,A
26,9,pair_62_sharp-left.png,sharp-left,NOONAH,pseudoword,B,62,A
26,10,pair_126_round-left.png,round-left,NOOMAH,pseudoword,A,126,A
26,11,pair_79_round-left.png,round-left,LOHMAH,pseudoword,A,79,A
26,12,pair_97_round-left.png,round-left,NOONOO,pseudoword,A,97,B
26,13,pair_134_round-left.png,round-left,PEETEE,pseudoword,B,134,A
26,14,pair_46_round-left.png,round-left,KUHTUH,pseudoword,B,46,A
26,15,pair_98_sharp-left.png,sharp-left,MOHLOO,pseudoword,B,98,A
26,16,pair_48_sharp-left.png,sharp-left,NOOLOH,pseudoword,B,48,B
26,17,pair_60_sharp-left.png,sharp-left,NOOMOH,pseudoword,B,60,B
26,18,pair_142_sharp-left.png,sharp-left,LOHNAH,pseudoword,B,142,A
26,19,pair_49_round-left.png,round-left,TAYTUH,pseudoword,B,49,B
26,20,pair_158_sharp-left.png,sharp-left,LOONOH,pseudoword,B,158,B
26,21,pair_35_sharp-left.png,sharp-left,NOOLOO,pseudoword,B,35,B
26,22,pair_15_round-left.png,round-left,MAHMOO,pseudoword,A,15,A
26,23,pair_161_round-left.png,round-left,LOOMOH,pseudoword,A,161,A
26,24,pair_81_sharp-left.png,sharp-left,TAYKUH,pseudoword,A,81,A
26,25,pair_65_sharp-left.png,sharp-left,LAHNOO,pseudoword,B,65,A
26,26,pair_24_sharp-left.png,sharp-left,TAYPEE,pseudoword,A,24,A
26,27,pair_149_round-left.png,round-left,TUHKAY,pseudoword,B,149,A
26,28,pair_108_round-left.png,round-left,MOHMOH,pseudoword,A,108,A
26,29,pair_39_sharp-left.png,sharp-left,KUHPUH,pseudoword,A,39,B
26,30,pair_164_sharp-left.png,sharp-left,MOOMAH,pseudoword,B,164,B
26,31,pair_150_sharp-left.png,sharp-left,PAYPEE,pseudoword,A,150,A
26,32,pair_163_sharp-left.png,sharp-left,KAYKUH,pseudoword,A,163,A
26,33,pair_18_round-left.png,round-left,TUHTAY,pseudoword,B,18,A
26,34,pair_111_round-left.png,round-left,PAYTAY,pseudoword,B,111,B
26,35,pair_165_round-left.png,round-left,LOOMOO,pseudoword,A,165,A
26,36,pair_78_sharp-left.png,sharp-left,TEEPUH,pseudoword,A,78,A
26,37,pair_110_sharp-left.png,sharp-left,KAYKEE,pseudoword,A,110,A
26,38,pair_74_sharp-left.png,sharp-left,PUHKAY,pseudoword,A,74,B
26,39,pair_122_round-left.png,round-left,PAYTEE,pseudoword,B,122,A
26,40,pair_57_round-left.png,round-left,TUHTUH,pseudoword,B,57,A
26,41,pair_50_round-left.png,round-left,LAHLAH,pseudoword,A,50,A
26,42,pair_153_sharp-left.png,sharp-left,LOHNOO,pseudoword,B,153,A
26,43,pair_36_round-left.png,round-left,MAHMAH,pseudoword,A,36,A
26,44,pair_82_round-left.png,round-left,MOOLOH,pseudoword,A,82,A
26,45,pair_114_sharp-left.png,sharp-left,LOHLAH,pseudoword,B,114,B
26,46,pair_102_round-left.png,round-left,NOHLOO,pseudoword,A,102,B
26,47,pair_171_round-left.png,round-left,TAYPAY,pseudoword,B,171,A
26,48,pair_162_round-left.png,round-left,MOHLAH,pseudoword,A,162,B
26,49,pair_160_sharp-left.png,sharp-left,KEEKEE,pseudoword,A,160,A
26,50,pair_88_round-left.png,round-left,NOHNAH,pseudoword,A,88,B
26,51,pair_146_round-left.png,round-left,LAHLOO,pseudoword,A,146,A
26,52,pair_38_sharp-left.png,sharp-left,KEETAY,pseudoword,A,38,A
26,53,pair_123_sharp-left.png,sharp-left,TEETUH,pseudoword,A,123,A
26,54,pair_86_round-left.png,round-left,KUHTEE,pseudoword,B,86,B
26,55,pair_167_sharp-left.png,sharp-left,MOOLOO,pseudoword,B,167,A
26,56,pair_124_sharp-left.png,sharp-left,MOOLAH,pseudoword,B,124,A
26,57,pair_01_sharp-left.png,sharp-left,MALUMA,canonical,B,1,A
26,58,pair_131_sharp-left.png,sharp-left,TAYKAY,pseudoword,A,131,A
26,59,pair_73_round-left.png,round-left,KAYTAY,pseudoword,B,73,A
26,60,pair_19_round-left.png,round-left,PAYTUH,pseudoword,B,19,A
26,61,pair_83_round-left.png,round-left,NAHLOO,pseudoword,A,83,A
26,62,pair_87_round-left.png,round-left,LOHLOO,pseudoword,A,87,A
26,63,pair_157_round-left.png,round-left,NAHLAH,pseudoword,A,157,B
26,64,pair_101_sharp-left.png,sharp-left,LOHLOH,pseudoword,B,101,B
26,65,pair_07_sharp-left.png,sharp-left,BOUBA,canonical,B,7,B
26,66,pair_37_round-left.png,round-left,PUHTUH,pseudoword,B,37,A
26,67,pair_45_round-left.png,round-left,KAYPEE,pseudoword,B,45,B
26,68,pair_118_round-left.png,round-left,MAHNAH,pseudoword,A,118,A
26,69,pair_154_round-left.png,round-left,KAYPUH,pseudoword,B,154,B
26,70,pair_31_sharp-left.png,sharp-left,LOOLOO,pseudoword,B,31,A
26,71,pair_155_sharp-left.png,sharp-left,MAHMOH,pseudoword,B,155,B
26,72,pair_05_sharp-left.png,sharp-left,PUHKEE,pseudoword,A,5,B
26,73,pair_169_sharp-left.png,sharp-left,KUHKAY,pseudoword,A,169,A
26,74,pair_120_round-left.png,round-left,PUHPUH,pseudoword,B,120,A
26,75,pair_95_sharp-left.png,sharp-left,TEEPEE,pseudoword,A,95,B
26,76,pair_91_round-left.png,round-left,KEEPAY,pseudoword,B,91,B
26,77,pair_03_sharp-left.png,sharp-left,PUHPAY,pseudoword,A,3,A
26,78,pair_29_sharp-left.png,sharp-left,MOONAH,pseudoword,B,29,B
26,79,pair_34_round-left.png,round-left,LOOLOH,pseudoword,A,34,A
26,80,pair_69_sharp-left.png,sharp-left,PAYPUH,pseudoword,A,69,A
26,81,pair_26_sharp-left.png,sharp-left,PUHTEE,pseudoword,A,26,A
26,82,pair_176_sharp-left.png,sharp-left,KAYTEE,pseudoword,A,176,A
26,83,pair_90_round-left.png,round-left,NAHMOH,pseudoword,A,90,A
26,84,pair_41_sharp-left.png,sharp-left,KAYPAY,pseudoword,A,41,B
26,85,pair_89_round-left.png,round-left,NAHNAH,pseudoword,A,89,A
26,86,pair_109_round-left.png,round-left,TEEKAY,pseudoword,B,109,B
26,87,pair_55_sharp-left.png,sharp-left,PEETUH,pseudoword,A,55,B
26,88,pair_175_round-left.png,round-left,PEEPAY,pseudoword,B,175,A
