set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
38,1,pair_103_round-left.png,round-left,LOHMOO,pseudoword,A,103,B
38,2,pair_109_sharp-left.png,sharp-left,MOOLOO,pseudoword,B,109,B
38,3,pair_128_sharp-left.png,sharp-left,PEETEE,pseudoword,A,128,A
38,4,pair_177_round-left.png,round-left,LAHNAH,pseudoword,A,177,A
38,5,pair_130_sharp-left.png,sharp-left,MAHNOH,pseudoword,B,130,A
38,6,pair_47_sharp-left.png,sharp-left,LOONAH,pseudoword,B,47,B
38,7,pair_03_round-left.png,round-left,LAHMOO,pseudoword,A,3,A
38,8,pair_86_round-left.png,round-left,PEETUH,pseudoword,B,86,A
38,9,pair_55_round-left.png,round-left,NOOMOO,pseudoword,A,55,A
38,10,pair_165_sharp-left.png,sharp-left,NOOLOH,pseudoword,B,165,B
38,11,pair_31_round-left.png,round-left,NAHNOH,pseudoword,A,31,A
38,12,pair_28_sharp-left.png,sharp-left,MOOMOO,pseudoword,B,28,B
38,13,pair_72_round-left.png,round-left,PEEKUH,pseudoword,B,72,A
38,14,pair_10_sharp-left.png,sharp-left,MOHLOO,pseudoword,B,10,A
38,15,pair_60_sharp-left.png,sharp-left,TUHPUH,pseudoword,A,60,A
38,16,pair_36_sharp-left.png,sharp-left,MAHNAH,pseudoword,B,36,B
38,17,pair_37_round-left.png,round-left,NOONAH,pseudoword,A,37,A
38,18,pair_173_round-left.png,round-left,TEETEE,pseudoword,B,173,A
38,19,pair_41_sharp-left.png,sharp-left,PEEPAY,pseudoword,A,41,B
38,20,pair_71_sharp-left.png,sharp-left,KAYTUH,pseudoword,A,71,A
38,21,pair_96_round-left.png,round-left,PAYTAY,pseudoword,B,96,A
38,22,pair_74_sharp-left.png,sharp-left,KAYKEE,pseudoword,A,74,B
38,23,pair_04_sharp-left.png,sharp-left,LOOLOH,pseudoword,B,4,B
38,24,pair_110_sharp-left.png,sharp-left,TUHPEE,pseudoword,A,110,A
38,25,pair_178_sharp-left.png,sharp-left,KUHPAY,pseudoword,A,178,A
38,26,pair_153_round-left.png,round-left,NOHLOO,pseudoword,A,153,A
38,27,pair_30_sharp-left.png,sharp-left,MOONOH,pseudoword,B,30,B
38,28,pair_119_round-left.png,round-left,LOONOO,pseudoword,A,119,B
38,29,pair_22_round-left.png,round-left,TAYKUH,pseudoword,B,22,B
38,30,pair_49_sharp-left.png,sharp-left,KEETEE,pseudoword,A,49,A
38,31,pair_135_round-left.png,round-left,MOHNOO,pseudoword,A,135,A
38,32,pair_43_round-left.png,round-left,LAHNOH,pseudoword,A,43,A
38,33,pair_127_round-left.png,round-left,PUHTUH,pseudoword,B,127,B
38,34,pair_85_sharp-left.png,sharp-left,MOHLOH,pseudoword,B,85,A
38,35,pair_126_sharp-left.png,sharp-left,MAHMOH,pseudoword,B,126,A
38,36,pair_179_round-left.png,round-left,PEETAY,pseudoword,B,179,B
38,37,pair_20_round-left.png,round-left,NOHNOO,pseudoword,A,20,B
38,38,pair_90_round-left.png,round-left,KEETAY,pseudoword,B,90,A
38,39,pair_151_round-left.png,round-left,LOHNOH,pseudoword,A,151,B
38,40,pair_129_sharp-left.png,sharp-left,NOOMAH,pseudoword,B,129,A
38,41,pair_184_round-left.png,round-left,KUHTUH,pseudoword,B,184,B
38,42,pair_95_round-left.png,round-left,NOONOH,pseudoword,A,95,B
38,43,pair_118_sharp-left.png,sharp-left,KUHPEE,pseudoword,A,118,A
38,44,pair_32_sharp-left.png,sharp-left,KEEPEE,pseudoword,A,32,A
38,45,pair_140_round-left.png,round-left,PUHKAY,pseudoword,B,140,B
38,46,pair_76_round-left.png,round-left,TAYPAY,pseudoword,B,76,B
38,47,pair_141_round-left.png,round-left,MOOLOH,pseudoword,A,141,B
38,48,pair_156_sharp-left.png,sharp-left,TEEKAY,pseudoword,A,156,A
38,49,pair_78_round-left.png,round-left,MOONAH,pseudoword,A,78,A
38,50,pair_108_round-left.png,round-left,TEEPEE,pseudoword,B,108,B
38,51,pair_107_sharp-left.png,sharp-left,MOOMAH,pseudoword,B,107,B
38,52,pair_138_sharp-left.png,sharp-left,TEEKUH,pseudoword,A,138,B
38,53,pair_29_sharp-left.png,sharp-left,LOHNOO,pseudoword,B,29,A
38,54,pair_98_round-left.png,round-left,TUHTAY,pseudoword,B,98,B
38,55,pair_66_sharp-left.png,sharp-left,LOOLOO,pseudoword,B,66,B
38,56,pair_169_round-left.png,round-left,NAHLOO,pseudoword,A,169,B
38,57,pair_149_round-left.png,round-left,PUHPAY,pseudoword,B,149,B
38,58,pair_61_round-left.png,round-left,KEEKAY,pseudoword,B,61,B
38,59,pair_93_round-left.png,round-left,NAHLOH,pseudoword,A,93,B
38,60,pair_48_sharp-left.png,sharp-left,NOHLOH,pseudoword,B,48,B
38,61,pair_183_sharp-left.png,sharp-left,NAHMAH,pseudoword,B,183,A
38,62,pair_174_sharp-left.png,sharp-left,MOHMOH,pseudoword,B,174,A
38,63,pair_181_sharp-left.png,sharp-left,MAHMOO,pseudoword,B,181,B
38,64,pair_52_round-left.png,round-left,PAYKAY,pseudoword,B,52,B
38,65,pair_14_round-left.png,round-left,NOOMOH,pseudoword,A,14,B
38,66,pair_57_sharp-left.png,sharp-left,MOHNOH,pseudoword,B,57,A
38,67,pair_131_round-left.png,round-left,PEEKAY,pseudoword,B,131,B
38,68,pair_69_round-left.png,round-left,MOONOO,pseudoword,A,69,A
38,69,pair_54_round-left.png,round-left,LOOMAH,pseudoword,A,54,A
38,70,pair_65_round-left.png,round-left,KEETUH,pseudoword,B,65,B
38,71,pair_147_sharp-left.png,sharp-left,TUHTEE,pseudoword,A,147,A
38,72,pair_26_sharp-left.png,sharp-left,NOONOO,pseudoword,B,26,A
38,73,pair_46_round-left.png,round-left,MOHNAH,pseudoword,A,46,B
38,74,pair_42_round-left.png,round-left,NOOLAH,pseudoword,A,42,B
38,75,pair_79_sharp-left.png,sharp-left,KUHKAY,pseudoword,A,79,A
38,76,pair_13_round-left.png,round-left,MOOMOH,pseudoword,A,13,A
38,77,pair_63_round-left.png,round-left,NAHMOH,pseudoword,A,63,B
38,78,pair_137_sharp-left.png,sharp-left,PUHTAY,pseudoword,A,137,B
38,79,pair_82_round-left.png,round-left,PUHKEE,pseudoword,B,82,A
38,80,pair_97_round-left.png,round-left,TEETUH,pseudoword,B,97,B
38,81,pair_117_round-left.png,round-left,LOOMOH,pseudoword,A,117,A
38,82,pair_07_round-left.png,round-left,KIKI,canonical,B,7,B
38,83,pair_40_sharp-left.png,sharp-left,NOHMAH,pseudoword,B,40,B
38,84,pair_182_round-left.png,round-left,NAHMOO,pseudoword,A,182,A
38,85,pair_166_round-left.png,round-left,TAYTUH,pseudoword,B,166,A
38,86,pair_167_sharp-left.png,sharp-left,KUHTAY,pseudoword,A,167,A
38,87,pair_139_round-left.png,round-left,LOHLOH,pseudoword,A,139,A
38,88,pair_12_sharp-left.png,sharp-left,LOHLOO,pseudoword,B,12,B
38,89,pair_100_round-left.png,round-left,PAYPEE,pseudoword,B,100,B
38,90,pair_185_round-left.png,round-left,KUHKEE,pseudoword,B,185,B
38,91,pair_24_round-left.png,round-left,MAHLAH,pseudoword,A,24,B
38,92,pair_34_round-left.png,round-left,MAHLOH,pseudoword,A,34,B
38,93,pair_114_sharp-left.png,sharp-left,NOHMOH,pseudoword,B,114,A
38,94,pair_44_sharp-left.png,sharp-left,KUHKUH,pseudoword,A,44,A
38,95,pair_62_sharp-left.png,sharp-left,NOHNOH,pseudoword,B,62,A
38,96,pair_09_sharp-left.png,sharp-left,KEEKUH,pseudoword,A,9,A
38,97,pair_53_sharp-left.png,sharp-left,KAYTEE,pseudoword,A,53,A
38,98,pair_92_round-left.png,round-left,PAYKEE,pseudoword,B,92,B
38,99,pair_164_sharp-left.png,sharp-left,TEEPUH,pseudoword,A,164,B
38,100,pair_77_sharp-left.png,sharp-left,TUHKEE,pseudoword,A,77,B
38,101,pair_16_round-left.png,round-left,TUHKAY,pseudoword,B,16,A
38,102,pair_94_sharp-left.png,sharp-left,KAYKUH,pseudoword,A,94,A
38,103,pair_84_sharp-left.png,sharp-left,TAYKEE,pseudoword,A,84,A
38,104,pair_35_sharp-left.png,sharp-left,TUHKUH,pseudoword,A,35,A
38,105,pair_67_round-left.png,round-left,LOHNAH,pseudoword,A,67,B
38,106,pair_176_round-left.png,round-left,KUHTEE,pseudoword,B,176,B
38,107,pair_23_sharp-left.png,sharp-left,KEEKEE,pseudoword,A,23,B
38,108,pair_155_round-left.png,round-left,LAHLOO,pseudoword,A,155,B
38,109,pair_157_sharp-left.png,sharp-left,KUHPUH,pseudoword,A,157,A
38,110,pair_102_round-left.png,round-left,KAYPUH,pseudoword,B,102,B
38,111,pair_17_sharp-left.png,sharp-left,PAYKUH,pseudoword,A,17,A
38,112,pair_144_sharp-left.png,sharp-left,LAHMAH,pseudoword,B,144,B
38,113,pair_132_sharp-left.png,sharp-left,KAYTAY,pseudoword,A,132,A
38,114,pair_99_sharp-left.png,sharp-left,MOOLAH,pseudoword,B,99,B
38,115,pair_123_round-left.png,round-left,PUHPEE,pseudoword,B,123,A
38,116,pair_120_sharp-left.png,sharp-left,NOHLAH,pseudoword,B,120,A
38,117,pair_01_sharp-left.png,sharp-left,MALUMA,canonical,B,1,B
38,118,pair_51_round-left.png,round-left,PAYTEE,pseudoword,B,51,B
38,119,pair_87_sharp-left.png,sharp-left,PAYPAY,pseudoword,A,87,B
38,120,pair_25_sharp-left.png,sharp-left,PUHKUH,pseudoword,A,25,B
38,121,pair_163_round-left.png,round-left,TAYPUH,pseudoword,B,163,A
38,122,pair_124_round-left.png,round-left,TAYKAY,pseudoword,B,124,A
38,123,pair_105_sharp-left.png,sharp-left,TEEPAY,pseudoword,A,105,B
38,124,pair_145_sharp-left.png,sharp-left,TEEKEE,pseudoword,A,145,A
